type,code,message,context,selector,category
serious,"wcag412,wcag131","Fix all of the following:
  Focusable content should have tabindex='-1' or be removed from the DOM","<div class=""featured-product slick-slide"" data-slick-index=""6"" aria-hidden=""true"" tabindex=""-1"" id=""slick-slide36"" style=""width: 232px;"">",div.feature-carousel > div.slick-list > div.slick-track > div#slick-slide36,cat.name-role-value
serious,"wcag412,wcag131","Fix all of the following:
  Focusable content should have tabindex='-1' or be removed from the DOM","<div class=""featured-product slick-slide"" data-slick-index=""9"" aria-hidden=""true"" tabindex=""-1"" id=""slick-slide39"" style=""width: 232px;"">",div.feature-carousel > div.slick-list > div.slick-track > div#slick-slide39,cat.name-role-value
serious,"wcag412,wcag131","Fix all of the following:
  Focusable content should have tabindex='-1' or be removed from the DOM","<div class=""featured-product slick-slide"" data-slick-index=""5"" aria-hidden=""true"" tabindex=""-1"" id=""slick-slide45"" style=""width: 232px;"">",div.feature-carousel > div.slick-list > div.slick-track > div#slick-slide45,cat.name-role-value
serious,"wcag412,wcag131","Fix all of the following:
  Focusable content should have tabindex='-1' or be removed from the DOM","<div class=""featured-product slick-slide"" data-slick-index=""7"" aria-hidden=""true"" tabindex=""-1"" id=""slick-slide47"" style=""width: 232px;"">",div.feature-carousel > div.slick-list > div.slick-track > div#slick-slide47,cat.name-role-value
serious,"wcag412,wcag131","Fix all of the following:
  Focusable content should have tabindex='-1' or be removed from the DOM","<div class=""featured-product slick-slide"" data-slick-index=""8"" aria-hidden=""true"" tabindex=""-1"" id=""slick-slide48"" style=""width: 232px;"">",div.feature-carousel > div.slick-list > div.slick-track > div#slick-slide48,cat.name-role-value
serious,"wcag412,wcag131","Fix all of the following:
  Focusable content should have tabindex='-1' or be removed from the DOM","<div class=""featured-product slick-slide"" data-slick-index=""5"" aria-hidden=""true"" tabindex=""-1"" id=""slick-slide55"" style=""width: 232px;"">",div.feature-carousel > div.slick-list > div.slick-track > div#slick-slide55,cat.name-role-value
serious,wcag411,"Fix any of the following:
  Document has active elements with the same id attribute: slick-slide11","<div data-bi-placement=""Flash Quad"" class=""slick-slide"" data-impr-status="""" data-impr-url=""https://media-cdn.costco.com/www3/;ID=178157;size=1x1;type=p57e9bfc3;setID…"" data-eligible-url=""https://media-cdn.costco.com/www3/;MID=178157;type=e57e9bfc3;placementID=2…"" data-viewable-url=""https://media-cdn.costco.com/www3/;MID=178157;type=v57e9bfc3;placementID=2…"" data-slick-index=""1"" aria-hidden=""true"" tabindex=""-1"" id=""slick-slide11"" style=""width: 1320px;"">",div#adb-hero-carousel > div.slick-list > div.slick-track > div#slick-slide11,cat.parsing
serious,wcag411,"Fix any of the following:
  Document has active elements with the same id attribute: slick-slide12","<div data-bi-placement=""Flash Quad"" class=""slick-slide"" data-impr-status="""" data-impr-url=""https://media-cdn.costco.com/www3/;ID=178157;size=1x1;type=p57e9bfc3;setID…"" data-eligible-url=""https://media-cdn.costco.com/www3/;MID=178157;type=e57e9bfc3;placementID=2…"" data-viewable-url=""https://media-cdn.costco.com/www3/;MID=178157;type=v57e9bfc3;placementID=2…"" data-slick-index=""2"" aria-hidden=""true"" tabindex=""-1"" id=""slick-slide12"" style=""width: 1320px;"">",div#adb-hero-carousel > div.slick-list > div.slick-track > div#slick-slide12,cat.parsing
serious,wcag411,"Fix any of the following:
  Document has active elements with the same id attribute: slick-slide13","<div data-bi-placement=""Flash Quad"" class=""slick-slide"" data-impr-status="""" data-impr-url=""https://media-cdn.costco.com/www3/;ID=178157;size=1x1;type=p57e9bfc3;setID…"" data-eligible-url=""https://media-cdn.costco.com/www3/;MID=178157;type=e57e9bfc3;placementID=2…"" data-viewable-url=""https://media-cdn.costco.com/www3/;MID=178157;type=v57e9bfc3;placementID=2…"" data-slick-index=""3"" aria-hidden=""true"" tabindex=""-1"" id=""slick-slide13"" style=""width: 1320px;"">",div#adb-hero-carousel > div.slick-list > div.slick-track > div#slick-slide13,cat.parsing
serious,wcag411,"Fix any of the following:
  Document has active elements with the same id attribute: slick-slide14","<div data-bi-placement=""Flash Quad"" class=""slick-slide"" data-impr-status="""" data-impr-url=""https://media-cdn.costco.com/www3/;ID=178157;size=1x1;type=p57e9bfc3;setID…"" data-eligible-url=""https://media-cdn.costco.com/www3/;MID=178157;type=e57e9bfc3;placementID=2…"" data-viewable-url=""https://media-cdn.costco.com/www3/;MID=178157;type=v57e9bfc3;placementID=2…"" data-slick-index=""4"" aria-hidden=""true"" tabindex=""-1"" id=""slick-slide14"" style=""width: 1320px;"">",div#adb-hero-carousel > div.slick-list > div.slick-track > div#slick-slide14,cat.parsing
