type,code,message,context,selector
serious,wcag131,"Fix all of the following:
  List element has direct children with a role that is not allowed: presentation","<ul class=""slick-dots"" style=""display: block;"">",div.container-fluid > div#Home_Product_Carousel_1_content > div.feature-carousel > ul.slick-dots
serious,wcag131,"Fix all of the following:
  List element has direct children with a role that is not allowed: presentation","<ul class=""slick-dots"" style=""display: block;"">",div.container-fluid > div#Home_Product_Carousel_2_content > div.feature-carousel > ul.slick-dots
serious,wcag131,"Fix all of the following:
  List element has direct children with a role that is not allowed: presentation","<ul class=""slick-dots"" style=""display: block;"">",div.container-fluid > div#Home_Product_Carousel_3_content > div.feature-carousel > ul.slick-dots
serious,wcag131,"Fix all of the following:
  List element has direct children with a role that is not allowed: presentation","<ul class=""slick-dots"" style=""display: block;"">",div.row > div.feature-carousel-container > div.feature-carousel > ul.slick-dots
serious,wcag131,"Fix all of the following:
  List element has direct children with a role that is not allowed: presentation","<ul class=""slick-dots"" style="""">",div#viewHome-Upper-Carousel > div.container-fluid > div#rm-prodgroup-viewHome-Upper-Carousel > ul.slick-dots
serious,wcag131,"Fix all of the following:
  List element has direct children with a role that is not allowed: presentation","<ul class=""slick-dots"" style="""">",div#viewHome-Carousel > div.container-fluid > div#rm-prodgroup-viewHome-Carousel > ul.slick-dots
serious,wcag411,"Fix any of the following:
  Document has active elements with the same id attribute: slick-slide02","<div class=""featured-product slick-slide"" style=""width: 155px;"" data-slick-index=""2"" aria-hidden=""true"" tabindex=""-1"" id=""slick-slide02"">",div.feature-carousel > div.slick-list > div.slick-track > div#slick-slide02
serious,wcag411,"Fix any of the following:
  Document has active elements with the same id attribute: slick-slide03","<div class=""featured-product slick-slide"" style=""width: 155px;"" data-slick-index=""3"" aria-hidden=""true"" tabindex=""-1"" id=""slick-slide03"">",div.feature-carousel > div.slick-list > div.slick-track > div#slick-slide03
serious,wcag411,"Fix any of the following:
  Document has active elements with the same id attribute: slick-slide04","<div class=""featured-product slick-slide"" style=""width: 155px;"" data-slick-index=""4"" aria-hidden=""true"" tabindex=""-1"" id=""slick-slide04"">",div.feature-carousel > div.slick-list > div.slick-track > div#slick-slide04
serious,wcag411,"Fix any of the following:
  Document has active elements with the same id attribute: slick-slide05","<div class=""featured-product slick-slide"" style=""width: 155px;"" data-slick-index=""5"" aria-hidden=""true"" tabindex=""-1"" id=""slick-slide05"">",div.feature-carousel > div.slick-list > div.slick-track > div#slick-slide05
serious,wcag411,"Fix any of the following:
  Document has active elements with the same id attribute: slick-slide06","<div class=""featured-product slick-slide"" style=""width: 155px;"" data-slick-index=""6"" aria-hidden=""true"" tabindex=""-1"" id=""slick-slide06"">",div.feature-carousel > div.slick-list > div.slick-track > div#slick-slide06
serious,wcag411,"Fix any of the following:
  Document has active elements with the same id attribute: slick-slide07","<div class=""featured-product slick-slide"" style=""width: 155px;"" data-slick-index=""7"" aria-hidden=""true"" tabindex=""-1"" id=""slick-slide07"">",div.feature-carousel > div.slick-list > div.slick-track > div#slick-slide07
