type,code,message,context,selector,category,context_x,context_y
critical,wcag412,"Fix any of the following:
  Element does not have inner text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute
  Element's default semantics were not overridden with role=""none"" or role=""presentation""","<button class=""wt-btn wt-btn--transparent wt-btn--icon wt-btn--small wt-video__button"" data-selector=""wt-video-button"">",div.placeholder > div.placeholder-content > div.wt-video > button.wt-btn,cat.name-role-value,,
critical,wcag131,"Fix any of the following:
  Required ARIA parents role not present: menu, menubar, group","<span id=""catnav-primary-link-10855"" class=""wt-text-black"" role=""menuitem"" aria-haspopup=""true"" tabindex=""0"">",ul.wt-list-unstyled > li.top-nav-item > a.wt-text-link-no-underline > span#catnav-primary-link-10855,cat.aria,,
critical,wcag131,"Fix any of the following:
  Required ARIA parents role not present: menu, menubar, group","<span id=""catnav-primary-link-10923"" class=""wt-text-black"" role=""menuitem"" aria-haspopup=""true"" tabindex=""0"">",ul.wt-list-unstyled > li.top-nav-item > a.wt-text-link-no-underline > span#catnav-primary-link-10923,cat.aria,,
critical,wcag131,"Fix any of the following:
  Required ARIA parents role not present: menu, menubar, group","<span id=""catnav-primary-link-891"" class=""wt-text-black"" role=""menuitem"" aria-haspopup=""true"" tabindex=""0"">",ul.wt-list-unstyled > li.top-nav-item > a.wt-text-link-no-underline > span#catnav-primary-link-891,cat.aria,,
critical,wcag131,"Fix any of the following:
  Required ARIA parents role not present: menu, menubar, group","<span id=""catnav-primary-link-10983"" class=""wt-text-black"" role=""menuitem"" aria-haspopup=""true"" tabindex=""0"">",ul.wt-list-unstyled > li.top-nav-item > a.wt-text-link-no-underline > span#catnav-primary-link-10983,cat.aria,,
critical,wcag131,"Fix any of the following:
  Required ARIA parents role not present: menu, menubar, group","<span id=""catnav-primary-link-11049"" class=""wt-text-black"" role=""menuitem"" aria-haspopup=""true"" tabindex=""0"">",ul.wt-list-unstyled > li.top-nav-item > a.wt-text-link-no-underline > span#catnav-primary-link-11049,cat.aria,,
critical,wcag131,"Fix any of the following:
  Required ARIA parents role not present: menu, menubar, group","<span id=""catnav-primary-link-66"" class=""wt-text-black"" role=""menuitem"" aria-haspopup=""true"" tabindex=""0"">",ul.wt-list-unstyled > li.top-nav-item > a.wt-text-link-no-underline > span#catnav-primary-link-66,cat.aria,,
critical,wcag131,"Fix any of the following:
  Required ARIA parents role not present: menu, menubar, group","<span id=""catnav-primary-link-562"" class=""wt-text-black"" role=""menuitem"" aria-haspopup=""true"" tabindex=""0"">",ul.wt-list-unstyled > li.top-nav-item > a.wt-text-link-no-underline > span#catnav-primary-link-562,cat.aria,,
critical,wcag131,"Fix any of the following:
  Required ARIA parents role not present: menu, menubar, group","<span id=""catnav-primary-link--10"" class=""wt-text-black"" role=""menuitem"" aria-haspopup=""true"" tabindex=""0"">",ul.wt-list-unstyled > li.top-nav-item > a.wt-text-link-no-underline > span#catnav-primary-link--10,cat.aria,,
moderate,best-practice,"Fix any of the following:
  Heading order invalid","<h3 class=""wt-text-caption v2-listing-card__title
            wt-text-truncate
      …"">",a.listing-link > div.v2-listing-card__info > div > h3.wt-text-caption,cat.semantics,,
