type,code,message,context,selector
serious,best-practice,"Fix any of the following:
  Element has a tabindex greater than 0","<a data-selector=""skip-to-content-marketplace"" class=""global-enhancements-skip-to-content wt-screen-reader-only wt-focusable"" tabindex=""1"" href=""#content"">",/html[1]/body[1]/div[1]/header[0]/a[3]
critical,wcag412,"Fix any of the following:
  ARIA attribute is not allowed: aria-expanded=""false""","<div class=""wt-input-btn-group global-enhancements-search-input-btn-group wt-menu__tri…"" aria-expanded=""false"" data-id=""search-suggestions-trigger"">",/html[1]/body[1]/div[1]/header[0]/div[2]/div[0]/form[0]/div[1]/div[0]
critical,wcag412,"Fix any of the following:
  ARIA attribute is not allowed: aria-expanded=""false""","<div class=""wt-input-btn-group global-enhancements-search-input-btn-group wt-menu__tri…"" aria-expanded=""false"" data-id=""search-suggestions-trigger"">",/html[1]/body[1]/div[1]/header[0]/div[2]/div[1]/form[0]/div[1]/div[0]
critical,wcag131,"Fix any of the following:
  Required ARIA parents role not present: menu, menubar, group","<span id=""catnav-primary-link-10855"" class=""wt-text-black"" role=""menuitem"" aria-haspopup=""true"" tabindex=""0"">",/html[1]/body[1]/nav[2]/div[0]/div[0]/div[0]/ul[0]/li[1]/a[0]/span[0]
critical,wcag131,"Fix any of the following:
  Required ARIA parents role not present: menu, menubar, group","<span id=""catnav-primary-link-10923"" class=""wt-text-black"" role=""menuitem"" aria-haspopup=""true"" tabindex=""0"">",/html[1]/body[1]/nav[2]/div[0]/div[0]/div[0]/ul[0]/li[2]/a[0]/span[0]
critical,wcag131,"Fix any of the following:
  Required ARIA parents role not present: menu, menubar, group","<span id=""catnav-primary-link-891"" class=""wt-text-black"" role=""menuitem"" aria-haspopup=""true"" tabindex=""0"">",/html[1]/body[1]/nav[2]/div[0]/div[0]/div[0]/ul[0]/li[3]/a[0]/span[0]
critical,wcag131,"Fix any of the following:
  Required ARIA parents role not present: menu, menubar, group","<span id=""catnav-primary-link-10983"" class=""wt-text-black"" role=""menuitem"" aria-haspopup=""true"" tabindex=""0"">",/html[1]/body[1]/nav[2]/div[0]/div[0]/div[0]/ul[0]/li[4]/a[0]/span[0]
critical,wcag131,"Fix any of the following:
  Required ARIA parents role not present: menu, menubar, group","<span id=""catnav-primary-link-11049"" class=""wt-text-black"" role=""menuitem"" aria-haspopup=""true"" tabindex=""0"">",/html[1]/body[1]/nav[2]/div[0]/div[0]/div[0]/ul[0]/li[5]/a[0]/span[0]
critical,wcag131,"Fix any of the following:
  Required ARIA parents role not present: menu, menubar, group","<span id=""catnav-primary-link-66"" class=""wt-text-black"" role=""menuitem"" aria-haspopup=""true"" tabindex=""0"">",/html[1]/body[1]/nav[2]/div[0]/div[0]/div[0]/ul[0]/li[6]/a[0]/span[0]
critical,wcag131,"Fix any of the following:
  Required ARIA parents role not present: menu, menubar, group","<span id=""catnav-primary-link-562"" class=""wt-text-black"" role=""menuitem"" aria-haspopup=""true"" tabindex=""0"">",/html[1]/body[1]/nav[2]/div[0]/div[0]/div[0]/ul[0]/li[7]/a[0]/span[0]
critical,wcag131,"Fix any of the following:
  Required ARIA parents role not present: menu, menubar, group","<span id=""catnav-primary-link--10"" class=""wt-text-black"" role=""menuitem"" aria-haspopup=""true"" tabindex=""0"">",/html[1]/body[1]/nav[2]/div[0]/div[0]/div[0]/ul[0]/li[8]/a[0]/span[0]
moderate,best-practice,"Fix any of the following:
  Heading order invalid","<h3 class=""wt-text-caption v2-listing-card__title
            wt-text-truncate
      …"">",/html[1]/body[1]/main[12]/div[0]/div[3]/div[0]/div[0]/div[0]/div[1]/div[0]/a[0]/div[1]/div[0]/h3[0]
serious,best-practice,"Fix any of the following:
  Element has a tabindex greater than 0","<a data-selector=""skip-to-content-marketplace"" class=""global-enhancements-skip-to-content wt-screen-reader-only wt-focusable"" tabindex=""1"" href=""#content"">",/html[1]/body[1]/div[1]/header[0]/a[3]
