type,code,message,context,selector
serious,"wcag412,wcag244","Fix any of the following:
  Element does not have text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute","<a class=""link"" href=""https://www.ikea.pr/puertorico/es/?ref=gwp-start"" tabindex=""-1"">",body.startpage > div.region-links > a.link
serious,"wcag412,wcag244","Fix any of the following:
  Element does not have text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute","<a class=""link"" href=""https://www.ikea.pr/puertorico/en/?ref=gwp-start"" tabindex=""-1"">",body.startpage > div.region-links > a.link
serious,"wcag412,wcag244","Fix any of the following:
  Element does not have text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute","<a class=""link"" href=""https://www.ikea.com/ae/ar/?ref=gwp-start"" tabindex=""-1"">",body.startpage > div.region-links > a.link
serious,"wcag412,wcag244","Fix any of the following:
  Element does not have text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute","<a class=""link"" href=""https://www.ikea.com/ae/en/?ref=gwp-start"" tabindex=""-1"">",body.startpage > div.region-links > a.link
serious,"wcag412,wcag244","Fix any of the following:
  Element does not have text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute","<a class=""link"" href=""https://www.ikea.com.hk/zh/?ref=gwp-start"" tabindex=""-1"">",body.startpage > div.region-links > a.link
serious,"wcag412,wcag244","Fix any of the following:
  Element does not have text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute","<a class=""link"" href=""https://www.ikea.com.hk/en/?ref=gwp-start"" tabindex=""-1"">",body.startpage > div.region-links > a.link
serious,"wcag412,wcag244","Fix any of the following:
  Element does not have text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute","<a class=""link"" href=""https://www.ikea.com.do/es/?ref=gwp-start"" tabindex=""-1"">",body.startpage > div.region-links > a.link
serious,"wcag412,wcag244","Fix any of the following:
  Element does not have text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute","<a class=""link"" href=""https://www.ikea.com.do/en/?ref=gwp-start"" tabindex=""-1"">",body.startpage > div.region-links > a.link
serious,"wcag412,wcag244","Fix any of the following:
  Element does not have text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute","<a class=""link"" href=""https://www.ikea.com/ca/en/?ref=gwp-start"" tabindex=""-1"">",body.startpage > div.region-links > a.link
serious,"wcag412,wcag244","Fix any of the following:
  Element does not have text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute","<a class=""link"" href=""https://www.ikea.com/ca/fr/?ref=gwp-start"" tabindex=""-1"">",body.startpage > div.region-links > a.link
serious,"wcag412,wcag244","Fix any of the following:
  Element does not have text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute","<a class=""link"" href=""https://www.ikea.com/ma/fr/?ref=gwp-start"" tabindex=""-1"">",body.startpage > div.region-links > a.link
serious,"wcag412,wcag244","Fix any of the following:
  Element does not have text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute","<a class=""link"" href=""https://www.ikea.com/ma/ar/?ref=gwp-start"" tabindex=""-1"">",body.startpage > div.region-links > a.link
serious,"wcag412,wcag244","Fix any of the following:
  Element does not have text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute","<a class=""link"" href=""https://www.ikea.com/ma/en/?ref=gwp-start"" tabindex=""-1"">",body.startpage > div.region-links > a.link
serious,"wcag412,wcag244","Fix any of the following:
  Element does not have text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute","<a class=""link"" href=""https://www.ikea.com/pl/pl/?ref=gwp-start"" tabindex=""-1"">",body.startpage > div.region-links > a.link
serious,"wcag412,wcag244","Fix any of the following:
  Element does not have text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute","<a class=""link"" href=""https://www.ikea.com/jo/ar/?ref=gwp-start"" tabindex=""-1"">",body.startpage > div.region-links > a.link
serious,"wcag412,wcag244","Fix any of the following:
  Element does not have text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute","<a class=""link"" href=""https://www.ikea.com/jo/en/?ref=gwp-start"" tabindex=""-1"">",body.startpage > div.region-links > a.link
serious,"wcag412,wcag244","Fix any of the following:
  Element does not have text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute","<a class=""link"" href=""https://www.ikea.com/cz/cs/?ref=gwp-start"" tabindex=""-1"">",body.startpage > div.region-links > a.link
serious,"wcag412,wcag244","Fix any of the following:
  Element does not have text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute","<a class=""link"" href=""https://www.ikea.com/cz/en/?ref=gwp-start"" tabindex=""-1"">",body.startpage > div.region-links > a.link
serious,"wcag412,wcag244","Fix any of the following:
  Element does not have text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute","<a class=""link"" href=""https://www.ikea.com/th/th/?ref=gwp-start"" tabindex=""-1"">",body.startpage > div.region-links > a.link
serious,"wcag412,wcag244","Fix any of the following:
  Element does not have text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute","<a class=""link"" href=""https://www.ikea.com/th/en/?ref=gwp-start"" tabindex=""-1"">",body.startpage > div.region-links > a.link
serious,"wcag412,wcag244","Fix any of the following:
  Element does not have text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute","<a class=""link"" href=""https://www.ikea.com/gb/en/?ref=gwp-start"" tabindex=""-1"">",body.startpage > div.region-links > a.link
serious,"wcag412,wcag244","Fix any of the following:
  Element does not have text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute","<a class=""link"" href=""https://www.ikea.com/ch/de/?ref=gwp-start"" tabindex=""-1"">",body.startpage > div.region-links > a.link
serious,"wcag412,wcag244","Fix any of the following:
  Element does not have text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute","<a class=""link"" href=""https://www.ikea.com/ch/fr/?ref=gwp-start"" tabindex=""-1"">",body.startpage > div.region-links > a.link
serious,"wcag412,wcag244","Fix any of the following:
  Element does not have text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute","<a class=""link"" href=""https://www.ikea.com/ch/it/?ref=gwp-start"" tabindex=""-1"">",body.startpage > div.region-links > a.link
serious,"wcag412,wcag244","Fix any of the following:
  Element does not have text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute","<a class=""link"" href=""https://www.ikea.com/ch/en/?ref=gwp-start"" tabindex=""-1"">",body.startpage > div.region-links > a.link
serious,"wcag412,wcag244","Fix any of the following:
  Element does not have text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute","<a class=""link"" href=""https://www.ikea.com/rs/sr/?ref=gwp-start"" tabindex=""-1"">",body.startpage > div.region-links > a.link
serious,"wcag412,wcag244","Fix any of the following:
  Element does not have text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute","<a class=""link"" href=""https://www.ikea.com/be/nl/?ref=gwp-start"" tabindex=""-1"">",body.startpage > div.region-links > a.link
serious,"wcag412,wcag244","Fix any of the following:
  Element does not have text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute","<a class=""link"" href=""https://www.ikea.com/be/fr/?ref=gwp-start"" tabindex=""-1"">",body.startpage > div.region-links > a.link
serious,"wcag412,wcag244","Fix any of the following:
  Element does not have text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute","<a class=""link"" href=""https://www.ikea.com/be/en/?ref=gwp-start"" tabindex=""-1"">",body.startpage > div.region-links > a.link
serious,"wcag412,wcag244","Fix any of the following:
  Element does not have text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute","<a class=""link"" href=""https://www.ikea.com/bh/en/?ref=gwp-start"" tabindex=""-1"">",body.startpage > div.region-links > a.link
