type,code,message,context,selector
serious,wcag143,"Fix any of the following:
  Element has insufficient color contrast of 3.68 (foreground color: #ffffff, background color: #309843, font size: 12.0pt (16px), font weight: normal). Expected contrast ratio of 4.5:1",<p>,/html[1]/body[1]/div[0]/div[1]/main[0]/div[5]/div[0]/div[0]/a[0]/div[0]/div[0]/div[1]/p[0]
serious,wcag143,"Fix any of the following:
  Element has insufficient color contrast of 4.35 (foreground color: #b3cde3, background color: #0058a3, font size: 12.0pt (16px), font weight: normal). Expected contrast ratio of 4.5:1","<p class=""svelte-xzdvl1"">",/html[1]/body[1]/div[0]/div[1]/footer[1]/div[2]/div[1]/div[1]/p[0]
serious,"wcag412,wcag244","Fix any of the following:
  Element does not have text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute","<a class=""link"" href=""https://www.ikea.pr/puertorico/es/?ref=gwp-start"" tabindex=""-1"">",/html[1]/body[1]/div[3]/a[0]
serious,"wcag412,wcag244","Fix any of the following:
  Element does not have text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute","<a class=""link"" href=""https://www.ikea.pr/puertorico/en/?ref=gwp-start"" tabindex=""-1"">",/html[1]/body[1]/div[3]/a[1]
serious,"wcag412,wcag244","Fix any of the following:
  Element does not have text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute","<a class=""link"" href=""https://www.ikea.com/ae/ar/?ref=gwp-start"" tabindex=""-1"">",/html[1]/body[1]/div[3]/a[2]
serious,"wcag412,wcag244","Fix any of the following:
  Element does not have text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute","<a class=""link"" href=""https://www.ikea.com/ae/en/?ref=gwp-start"" tabindex=""-1"">",/html[1]/body[1]/div[3]/a[3]
serious,"wcag412,wcag244","Fix any of the following:
  Element does not have text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute","<a class=""link"" href=""https://www.ikea.com.hk/zh/?ref=gwp-start"" tabindex=""-1"">",/html[1]/body[1]/div[3]/a[4]
serious,"wcag412,wcag244","Fix any of the following:
  Element does not have text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute","<a class=""link"" href=""https://www.ikea.com.hk/en/?ref=gwp-start"" tabindex=""-1"">",/html[1]/body[1]/div[3]/a[5]
serious,"wcag412,wcag244","Fix any of the following:
  Element does not have text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute","<a class=""link"" href=""https://www.ikea.com.do/es/?ref=gwp-start"" tabindex=""-1"">",/html[1]/body[1]/div[3]/a[6]
serious,"wcag412,wcag244","Fix any of the following:
  Element does not have text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute","<a class=""link"" href=""https://www.ikea.com.do/en/?ref=gwp-start"" tabindex=""-1"">",/html[1]/body[1]/div[3]/a[7]
