"type","code","message","context","selector"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G145.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 3:1, but text in this element has a contrast ratio of 1:1. Recommendation:  change text colour to #949494.","<h1>Resources for <u>Developers</u>...</h1>","#content > div > div:nth-child(1) > section > h1"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G145.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 3:1, but text in this element has a contrast ratio of 1:1. Recommendation:  change text colour to #949494.","<u>Developers</u>","#content > div > div:nth-child(1) > section > h1 > u"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 1:1. Recommendation:  change text colour to #767676.","<p>Documenting web technologies, i...</p>","#content > div > div:nth-child(1) > section > p"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 1:1. Recommendation:  change text colour to #767676.","<h3>Contributor Spotlight</h3>","#content > div > div:nth-child(5) > div:nth-child(1) > div > h3"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 1.59:1. Recommendation:  change text colour to #767676.","<blockquote><span class=\"icon icon-quote \">...</blockquote>","#content > div > div:nth-child(5) > div:nth-child(1) > div > blockquote"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.08:1. Recommendation:  change text colour to #4d75c0.","<a href=\"/en-US/community\" class=\"spotlight-cta\">Get involved →</a>","#content > div > div:nth-child(5) > div:nth-child(1) > div > a:nth-child(4)"
"warning","WCAG2AA.Principle1.Guideline1_3.1_3_1.H48","If this element contains a navigation section, it is recommended that it be marked up as a list.","<p class=\"mdn-cta-copy\"><a href=\"/en-US/plus\" class=\"md...</p>","#plus_launch_announcement > p"
"warning","WCAG2AA.Principle2.Guideline2_5.2_5_3.F96","Accessible name for this element does not contain the visible label text. Check that for user interface components with labels that include text or images of text, the name contains the text that is presented visually.","<a href=\"/en-us/\" class=\"logo\" aria-label=\"MDN homepage\"><svg id=\"mdn-docs-logo\" xmlns=\"...</a>","#root > div:nth-child(3) > header > div > div:nth-child(1) > a"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.","<span class=\"visually-hidden\">Open main menu</span>","#root > div:nth-child(3) > header > div > div:nth-child(1) > button > span > span:nth-child(2)"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.","<label id=\"hp-search-label\" for=\"hp-search-input\" class=\"visually-hidden\">Search MDN</label>","#hp-search-label"
