"type","code","message","context","selector"
"notice","WCAG2AA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","<title>The New York Times - Breaking N...</title>","html > head > title"
"error","WCAG2AA.Principle2.Guideline2_4.2_4_1.H64.1","Iframe element requires a non-empty title attribute that identifies the frame.","<iframe src=\"https://static01.nyt.com/ads/tpc-check.html\" id=\"3pCheckIframeId\" height=\"0\" width=\"0\" style=\"display: none;\"></iframe>","#3pCheckIframeId"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.","<a class=\"css-kgn7zc\" href=\"#site-content\">Skip to content</a>","#app > a"
"notice","WCAG2AA.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81","Check that the link text combined with programmatically determined link context identifies the purpose of the link.","<a class=\"css-kgn7zc\" href=\"#site-content\">Skip to content</a>","#app > a"
"notice","WCAG2AA.Principle3.Guideline3_2.3_2_1.G107","Check that a change of context does not occur when this input field receives focus.","<button id=\"desktop-sections-button\" data-testid=\"desktop-section-button\" aria-label=\"Sections Navigation\" class=\"css-123u7tk ea180rp2\"><span class=\"css-1dv1kvn\">Secti...</button>","#desktop-sections-button"
"notice","WCAG2AA.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81","Check that the link text combined with programmatically determined link context identifies the purpose of the link.","<a href=\"https://www.nytimes.com/section/todayspaper\" class=\"css-hnzl8o\">Today’s Paper</a>","#masthead-bar-one > div:nth-child(1) > div:nth-child(2) > a"
"notice","WCAG2AA.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81","Check that the link text combined with programmatically determined link context identifies the purpose of the link.","<a href=\"https://www.nytimes.com/interactive/2021/us/covid-cases.html\" class=\"svelte-gk5ckl\">Tracking the Coronavirus ›</a>","#embeds/spotlight-dashboard > div > h2 > a"
"warning","WCAG2AA.Principle1.Guideline1_3.1_3_1.H48","If this element contains a navigation section, it is recommended that it be marked up as a list.","<div class=\"maps spotlight svelte-14oieza\"><a href=\"https://www.nytimes.co...</div>","#embeds/spotlight-dashboard > div > div > section:nth-child(2) > div"
"notice","WCAG2AA.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81","Check that the link text combined with programmatically determined link context identifies the purpose of the link.","<a href=\"https://www.nytimes.com/interactive/2021/us/covid-cases.html\" class=\"us-map-link svelte-14oieza\"><div class=\"imgbox svelte-14oie...</a>","#embeds/spotlight-dashboard > div > div > section:nth-child(2) > div > a:nth-child(1)"
"notice","WCAG2AA.Principle1.Guideline1_1.1_1_1.G94.Image","Ensure that the img element's alt text serves the same purpose and presents the same information as the image.","<img alt=\"US coronavirus cases\" src=\"https://static01.nyt.com/newsgraphics/2021/coronavirus-tracking/images/maps/USA/hotspots-state.png\" loading=\"lazy\" class=\"svelte-14oieza\">","#embeds/spotlight-dashboard > div > div > section:nth-child(2) > div > a:nth-child(1) > div > img"
