"type","code","message","context","selector"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.Button.Name","This button element does not have a name available to an accessibility API. Valid names are: title undefined, element content, aria-label undefined, aria-labelledby undefined.","<button type=\"button\" id=\"cboxPrevious\"></button>","#cboxPrevious"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.Button.Name","This button element does not have a name available to an accessibility API. Valid names are: title undefined, element content, aria-label undefined, aria-labelledby undefined.","<button type=\"button\" id=\"cboxNext\"></button>","#cboxNext"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.Button.Name","This button element does not have a name available to an accessibility API. Valid names are: title undefined, element content, aria-label undefined, aria-labelledby undefined.","<button type=\"button\" id=\"cboxSlideshow\"></button>","#cboxSlideshow"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_10.C32,C31,C33,C38,SCR34,G206","Interfering with a user agent's ability to zoom may be a failure of this Success Criterion.","<meta name=\"viewport\" content=\"width=device-width, initial-scale=1, maximum-scale=10, minimum-scale=1, user-scalable=yes\">","html > head > meta:nth-child(4)"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.","<a href=\"#main-content\" class=\"element-invisible element-focusable\">Skip to main content</a>","#skip-link > a"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.","<span class=\"element-invisible\">Yale University</span>","#region-topper-first > div > div:nth-child(1) > a > span:nth-child(1)"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.","<span class=\"element-invisible\">Search this site</span>","#search-block-form > div > div > div:nth-child(1) > label > span"
"warning","WCAG2AA.Principle1.Guideline1_3.1_3_1_A.G141","The heading structure is not logically nested. This h2 element appears to be the primary document heading, so should be an h1 element.","<h2 class=\"site-name\"><a href=\"/\" title=\"Home\">Usabil...</h2>","#region-branding > div > div > h2"
"warning","WCAG2AA.Principle1.Guideline1_3.1_3_1_A.G141","The heading structure is not logically nested. This h2 element should be an h1 to be properly nested.","<h2 class=\"site-name\"><a href=\"/\" title=\"Home\">Usabil...</h2>","#region-branding > div > div > h2"
"warning","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.A.Empty","Anchor element found with an ID but without a href or link text. Consider moving its ID to a parent or nearby element.","<a id=\"main-content\" tabindex=\"-1\"></a>","#main-content"
