"type","code","message","context","selector"
"error","WCAG2AA.Principle2.Guideline2_4.2_4_1.H64.1","Iframe element requires a non-empty title attribute that identifies the frame.","<iframe src=\"javascript:void(0)\" title=\"\" style=\"width: 0px; height: 0px; border: 0px; display: none;\"></iframe>","html > head > iframe"
"error","WCAG2AA.Principle1.Guideline1_3.1_3_1.H49.Center","Presentational markup used that has become obsolete in HTML5.","<center>Quickest Delivery</center>","#navigation_v2_data > ul > div:nth-child(1095) > div > a > div > div:nth-child(1) > span > center"
"error","WCAG2AA.Principle1.Guideline1_3.1_3_1.H49.Center","Presentational markup used that has become obsolete in HTML5.","<center>Same-Day in Most Areas</center>","#navigation_v2_data > ul > div:nth-child(1095) > div > a > div > div:nth-child(2) > span > center"
"error","WCAG2AA.Principle1.Guideline1_3.1_3_1.H49.Center","Presentational markup used that has become obsolete in HTML5.","<center>Prices and Availability Will Va...</center>","#navigation_v2_data > ul > div:nth-child(1095) > div > a > div > center"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.A.NoContent","Anchor element found with a valid href attribute, but no link content has been supplied.","<a href=\"https://www.costcobusinessdelivery.com/?src=dotcom\">\n\t\t\t\t<input type=\"button\" value...</a>","#navigation_v2_data > ul > div:nth-child(1099) > div > div > div:nth-child(3) > div > a:nth-child(1)"
"error","WCAG2AA.Principle1.Guideline1_3.1_3_1.H49.Font","Presentational markup used that has become obsolete in HTML5.","<font color=\"#333\"><b>Delivery Methods:</b></font>","#navigation_v2_data > ul > li:nth-child(1131) > a > font"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"Home_Ancillary_0\" found on the web page.","<a href=\"/grocery-household.html\" id=\"Home_Ancillary_0\" data-flyout=\"Home_Ancillary_Popover_0\" data-width=\"600\" class=\"grocery nav-flyout\" style=\"font-size:16px;\">Grocery</a>","#Home_Ancillary_0"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"Home_Ancillary_1\" found on the web page.","<a href=\"https://sameday.costco.com?utm_source=nav&amp;zipcode=92658\" id=\"Home_Ancillary_1\" data-flyout=\"Home_Ancillary_Popover_1\" data-width=\"600\" class=\"grocery nav-flyout\" style=\"font-size:16px;\">Same-Day</a>","#Home_Ancillary_1"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"Home_Ancillary_2\" found on the web page.","<a href=\"/CatalogSearch?keyword=OFF&amp;dept=All&amp;sortBy=item_page_views+desc\" target=\"blank\" id=\"Home_Ancillary_2\" data-flyout=\"Home_Ancillary_Popover_2\" data-width=\"600\" class=\"nav-flyout\" style=\"font-size:16px;font-weight: bold;\">Deals</a>","#Home_Ancillary_2"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"Home_Ancillary_3\" found on the web page.","<a href=\"//www.costcobusinessdelivery.com\" id=\"Home_Ancillary_3\" data-flyout=\"Home_Ancillary_Popover_3\" data-width=\"600\" class=\"nav-flyout\" style=\"font-size:16px;\">Business Delivery</a>","#Home_Ancillary_3"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"Home_Ancillary_4\" found on the web page.","<a href=\"/optical.html\" id=\"Home_Ancillary_4\" data-flyout=\"Home_Ancillary_Popover_4\" data-width=\"310\" class=\"nav-flyout\" style=\"font-size:16px;\">Optical</a>","#Home_Ancillary_4"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"Home_Ancillary_5\" found on the web page.","<a href=\"/pharmacy/warehouse-pickup\" id=\"Home_Ancillary_5\" data-flyout=\"Home_Ancillary_Popover_5\" data-width=\"310\" class=\"nav-flyout adword-disable\" style=\"font-size:16px;\">Pharmacy</a>","#Home_Ancillary_5"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"Home_Ancillary_6\" found on the web page.","<a href=\"/services.html\" id=\"Home_Ancillary_6\" data-flyout=\"Home_Ancillary_Popover_6\" data-width=\"700\" class=\"nav-flyout\" style=\"font-size:16px;\">Services</a>","#Home_Ancillary_6"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"Home_Ancillary_8\" found on the web page.","<a href=\"https://www.costcotravel.com/?utm_source=collapse&amp;utm_source=costco.com&amp;utm_medium=referral&amp;utm_campaign=TopNav&amp;utm_term=costcotravel.com&amp;utm_content=20160621\" id=\"Home_Ancillary_8\" data-flyout=\"Home_Ancillary_Popover_8\" ...","#Home_Ancillary_8"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"Home_Ancillary_9\" found on the web page.","<a href=\"/join-costco.html\" id=\"Home_Ancillary_9\" data-flyout=\"Home_Ancillary_Popover_9\" data-width=\"310\" class=\"nav-flyout\" onclick=\"COSTCO.util.checkSsoLogin(this);\" style=\"font-size:16px;\">Membership</a>","#Home_Ancillary_9"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"minibanner-grocery-text\" found on the web page.","<span id=\"minibanner-grocery-text\" class=\"bodycopy-md\">Add $<span id=\"grocery_amountto...</span>","#minibanner-grocery-text"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"grocery_amounttogo\" found on the web page.","<span id=\"grocery_amounttogo\">100.00</span>","#grocery_amounttogo"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"grocery_surcharge\" found on the web page.","<span id=\"grocery_surcharge\">a ${1}</span>","#grocery_surcharge"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"right-bar\" found on the web page.","<div id=\"right-bar\" class=\"col-xs-12 col-sm-12 col-md-7 col-lg-7 col-xl-7 col-md-push-5 col-lg-push-5 col-xl-push-5 visible-xs visible-sm hidden-md hidden-lg hidden-xl\">\n\t\t<ul class=\"custom_crumb \" it...</div>","#right-bar"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"minibanner-grocery-text\" found on the web page.","<span id=\"minibanner-grocery-text\" class=\"bodycopy-md\">Add $<span id=\"grocery_amountto...</span>","#minibanner-grocery-text"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"grocery_amounttogo\" found on the web page.","<span id=\"grocery_amounttogo\">75.00</span>","#grocery_amounttogo"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"grocery_surcharge\" found on the web page.","<span id=\"grocery_surcharge\">a ${1}</span>","#grocery_surcharge"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"minibanner-grocery-text\" found on the web page.","<span id=\"minibanner-grocery-text\" class=\"bodycopy-md\">Add $<span id=\"grocery_amountto...</span>","#minibanner-grocery-text"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"grocery_amounttogo\" found on the web page.","<span id=\"grocery_amounttogo\">100.00</span>","#grocery_amounttogo"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"grocery_surcharge\" found on the web page.","<span id=\"grocery_surcharge\">a ${1}</span>","#grocery_surcharge"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"slick-slide10\" found on the web page.","<div class=\"slick-slide slick-current slick-active\" data-slick-index=\"0\" aria-hidden=\"false\" id=\"slick-slide10\" style=\"width: 170px;\"><div><div class=\"rm-product thu...</div>","#slick-slide10"
"error","WCAG2AA.Principle2.Guideline2_4.2_4_1.H64.1","Iframe element requires a non-empty title attribute that identifies the frame.","<iframe height=\"0\" width=\"0\" style=\"display: none; visibility: hidden;\" src=\"https://10270089.fls.doubleclick.net/activityi;src=10270089;type=nonme0;cat=costc0;ord=7317165560323;gtm=45fe3360;auiddc=2098864552.1678262584;u2=Welcome%20to%20Costco%20Who...","html > body > iframe:nth-child(91)"
"error","WCAG2AA.Principle1.Guideline1_3.1_3_1.F92,ARIA4","This element's role is \"presentation\" but contains child elements with semantic meaning.","<li class=\"slick-active\" role=\"presentation\"><button type=\"button\" id=\"slick...</li>","#adb-hero-carousel > ul > li:nth-child(1)"
"error","WCAG2AA.Principle1.Guideline1_3.1_3_1.F92,ARIA4","This element's role is \"presentation\" but contains child elements with semantic meaning.","<li role=\"presentation\"><button type=\"button\" id=\"slick...</li>","#adb-hero-carousel > ul > li:nth-child(2)"
"error","WCAG2AA.Principle1.Guideline1_3.1_3_1.F92,ARIA4","This element's role is \"presentation\" but contains child elements with semantic meaning.","<li role=\"presentation\"><button type=\"button\" id=\"slick...</li>","#adb-hero-carousel > ul > li:nth-child(3)"
"error","WCAG2AA.Principle1.Guideline1_3.1_3_1.F92,ARIA4","This element's role is \"presentation\" but contains child elements with semantic meaning.","<li role=\"presentation\"><button type=\"button\" id=\"slick...</li>","#adb-hero-carousel > ul > li:nth-child(4)"
"error","WCAG2AA.Principle1.Guideline1_3.1_3_1.F92,ARIA4","This element's role is \"presentation\" but contains child elements with semantic meaning.","<li role=\"presentation\"><button type=\"button\" id=\"slick...</li>","#adb-hero-carousel > ul > li:nth-child(5)"
"error","WCAG2AA.Principle1.Guideline1_3.1_3_1.F92,ARIA4","This element's role is \"presentation\" but contains child elements with semantic meaning.","<li role=\"presentation\"><button type=\"button\" id=\"slick...</li>","#adb-hero-carousel > ul > li:nth-child(6)"
"error","WCAG2AA.Principle1.Guideline1_3.1_3_1.F92,ARIA4","This element's role is \"presentation\" but contains child elements with semantic meaning.","<li role=\"presentation\"><button type=\"button\" id=\"slick...</li>","#adb-hero-carousel > ul > li:nth-child(7)"
"error","WCAG2AA.Principle1.Guideline1_3.1_3_1.F92,ARIA4","This element's role is \"presentation\" but contains child elements with semantic meaning.","<li class=\"slick-active\" role=\"presentation\"><button type=\"button\" id=\"slick...</li>","#Home_Product_Carousel_1_content > div > ul > li:nth-child(1)"
"error","WCAG2AA.Principle1.Guideline1_3.1_3_1.F92,ARIA4","This element's role is \"presentation\" but contains child elements with semantic meaning.","<li role=\"presentation\"><button type=\"button\" id=\"slick...</li>","#Home_Product_Carousel_1_content > div > ul > li:nth-child(2)"
"error","WCAG2AA.Principle1.Guideline1_3.1_3_1.F92,ARIA4","This element's role is \"presentation\" but contains child elements with semantic meaning.","<li role=\"presentation\"><button type=\"button\" id=\"slick...</li>","#Home_Product_Carousel_1_content > div > ul > li:nth-child(3)"
"error","WCAG2AA.Principle1.Guideline1_3.1_3_1.F92,ARIA4","This element's role is \"presentation\" but contains child elements with semantic meaning.","<li role=\"presentation\"><button type=\"button\" id=\"slick...</li>","#Home_Product_Carousel_1_content > div > ul > li:nth-child(4)"
"error","WCAG2AA.Principle1.Guideline1_3.1_3_1.F92,ARIA4","This element's role is \"presentation\" but contains child elements with semantic meaning.","<li role=\"presentation\"><button type=\"button\" id=\"slick...</li>","#Home_Product_Carousel_1_content > div > ul > li:nth-child(5)"
"error","WCAG2AA.Principle1.Guideline1_3.1_3_1.F92,ARIA4","This element's role is \"presentation\" but contains child elements with semantic meaning.","<li class=\"slick-active\" role=\"presentation\"><button type=\"button\" id=\"slick...</li>","#Home_Product_Carousel_2_content > div > ul > li:nth-child(1)"
"error","WCAG2AA.Principle1.Guideline1_3.1_3_1.F92,ARIA4","This element's role is \"presentation\" but contains child elements with semantic meaning.","<li role=\"presentation\"><button type=\"button\" id=\"slick...</li>","#Home_Product_Carousel_2_content > div > ul > li:nth-child(2)"
"error","WCAG2AA.Principle1.Guideline1_3.1_3_1.F92,ARIA4","This element's role is \"presentation\" but contains child elements with semantic meaning.","<li role=\"presentation\"><button type=\"button\" id=\"slick...</li>","#Home_Product_Carousel_2_content > div > ul > li:nth-child(3)"
"error","WCAG2AA.Principle1.Guideline1_3.1_3_1.F92,ARIA4","This element's role is \"presentation\" but contains child elements with semantic meaning.","<li role=\"presentation\"><button type=\"button\" id=\"slick...</li>","#Home_Product_Carousel_2_content > div > ul > li:nth-child(4)"
"error","WCAG2AA.Principle1.Guideline1_3.1_3_1.F92,ARIA4","This element's role is \"presentation\" but contains child elements with semantic meaning.","<li role=\"presentation\"><button type=\"button\" id=\"slick...</li>","#Home_Product_Carousel_2_content > div > ul > li:nth-child(5)"
"error","WCAG2AA.Principle1.Guideline1_3.1_3_1.F92,ARIA4","This element's role is \"presentation\" but contains child elements with semantic meaning.","<li class=\"slick-active\" role=\"presentation\"><button type=\"button\" id=\"slick...</li>","#Home_Product_Carousel_3_content > div > ul > li:nth-child(1)"
"error","WCAG2AA.Principle1.Guideline1_3.1_3_1.F92,ARIA4","This element's role is \"presentation\" but contains child elements with semantic meaning.","<li role=\"presentation\"><button type=\"button\" id=\"slick...</li>","#Home_Product_Carousel_3_content > div > ul > li:nth-child(2)"
"error","WCAG2AA.Principle1.Guideline1_3.1_3_1.F92,ARIA4","This element's role is \"presentation\" but contains child elements with semantic meaning.","<li role=\"presentation\"><button type=\"button\" id=\"slick...</li>","#Home_Product_Carousel_3_content > div > ul > li:nth-child(3)"
"error","WCAG2AA.Principle1.Guideline1_3.1_3_1.F92,ARIA4","This element's role is \"presentation\" but contains child elements with semantic meaning.","<li role=\"presentation\"><button type=\"button\" id=\"slick...</li>","#Home_Product_Carousel_3_content > div > ul > li:nth-child(4)"
"error","WCAG2AA.Principle1.Guideline1_3.1_3_1.F92,ARIA4","This element's role is \"presentation\" but contains child elements with semantic meaning.","<li class=\"slick-active\" role=\"presentation\"><button type=\"button\" id=\"slick...</li>","#home-notification > div:nth-child(15) > div > div:nth-child(9) > div > ul > li:nth-child(1)"
"error","WCAG2AA.Principle1.Guideline1_3.1_3_1.F92,ARIA4","This element's role is \"presentation\" but contains child elements with semantic meaning.","<li role=\"presentation\"><button type=\"button\" id=\"slick...</li>","#home-notification > div:nth-child(15) > div > div:nth-child(9) > div > ul > li:nth-child(2)"
"error","WCAG2AA.Principle1.Guideline1_3.1_3_1.F92,ARIA4","This element's role is \"presentation\" but contains child elements with semantic meaning.","<li role=\"presentation\"><button type=\"button\" id=\"slick...</li>","#home-notification > div:nth-child(15) > div > div:nth-child(9) > div > ul > li:nth-child(3)"
"error","WCAG2AA.Principle1.Guideline1_3.1_3_1.F92,ARIA4","This element's role is \"presentation\" but contains child elements with semantic meaning.","<li role=\"presentation\"><button type=\"button\" id=\"slick...</li>","#home-notification > div:nth-child(15) > div > div:nth-child(9) > div > ul > li:nth-child(4)"
"error","WCAG2AA.Principle1.Guideline1_3.1_3_1.F92,ARIA4","This element's role is \"presentation\" but contains child elements with semantic meaning.","<li role=\"presentation\"><button type=\"button\" id=\"slick...</li>","#home-notification > div:nth-child(15) > div > div:nth-child(9) > div > ul > li:nth-child(5)"
"error","WCAG2AA.Principle1.Guideline1_3.1_3_1.F92,ARIA4","This element's role is \"presentation\" but contains child elements with semantic meaning.","<li class=\"slick-active\" role=\"presentation\"><button type=\"button\" id=\"slick...</li>","#home-notification > div:nth-child(15) > div > div:nth-child(10) > div > ul > li:nth-child(1)"
"error","WCAG2AA.Principle1.Guideline1_3.1_3_1.F92,ARIA4","This element's role is \"presentation\" but contains child elements with semantic meaning.","<li role=\"presentation\"><button type=\"button\" id=\"slick...</li>","#home-notification > div:nth-child(15) > div > div:nth-child(10) > div > ul > li:nth-child(2)"
"error","WCAG2AA.Principle1.Guideline1_3.1_3_1.F92,ARIA4","This element's role is \"presentation\" but contains child elements with semantic meaning.","<li role=\"presentation\"><button type=\"button\" id=\"slick...</li>","#home-notification > div:nth-child(15) > div > div:nth-child(10) > div > ul > li:nth-child(3)"
"error","WCAG2AA.Principle1.Guideline1_3.1_3_1.F92,ARIA4","This element's role is \"presentation\" but contains child elements with semantic meaning.","<li role=\"presentation\"><button type=\"button\" id=\"slick...</li>","#home-notification > div:nth-child(15) > div > div:nth-child(10) > div > ul > li:nth-child(4)"
"error","WCAG2AA.Principle1.Guideline1_3.1_3_1.F92,ARIA4","This element's role is \"presentation\" but contains child elements with semantic meaning.","<li role=\"presentation\"><button type=\"button\" id=\"slick...</li>","#home-notification > div:nth-child(15) > div > div:nth-child(10) > div > ul > li:nth-child(5)"
"error","WCAG2AA.Principle1.Guideline1_3.1_3_1.F92,ARIA4","This element's role is \"presentation\" but contains child elements with semantic meaning.","<li role=\"presentation\"><button type=\"button\" id=\"slick...</li>","#home-notification > div:nth-child(15) > div > div:nth-child(10) > div > ul > li:nth-child(6)"
"error","WCAG2AA.Principle1.Guideline1_3.1_3_1.F92,ARIA4","This element's role is \"presentation\" but contains child elements with semantic meaning.","<li role=\"presentation\"><button type=\"button\" id=\"slick...</li>","#home-notification > div:nth-child(15) > div > div:nth-child(10) > div > ul > li:nth-child(7)"
"error","WCAG2AA.Principle1.Guideline1_3.1_3_1.F92,ARIA4","This element's role is \"presentation\" but contains child elements with semantic meaning.","<li role=\"presentation\"><button type=\"button\" id=\"slick...</li>","#home-notification > div:nth-child(15) > div > div:nth-child(10) > div > ul > li:nth-child(8)"
"error","WCAG2AA.Principle1.Guideline1_3.1_3_1.F92,ARIA4","This element's role is \"presentation\" but contains child elements with semantic meaning.","<li role=\"presentation\"><button type=\"button\" id=\"slick...</li>","#home-notification > div:nth-child(15) > div > div:nth-child(10) > div > ul > li:nth-child(9)"
"error","WCAG2AA.Principle1.Guideline1_3.1_3_1.F92,ARIA4","This element's role is \"presentation\" but contains child elements with semantic meaning.","<li role=\"presentation\"><button type=\"button\" id=\"slick...</li>","#home-notification > div:nth-child(15) > div > div:nth-child(10) > div > ul > li:nth-child(10)"
"error","WCAG2AA.Principle1.Guideline1_3.1_3_1.F92,ARIA4","This element's role is \"presentation\" but contains child elements with semantic meaning.","<li class=\"slick-active\" role=\"presentation\"><button type=\"button\" id=\"slick...</li>","#rm-prodgroup-viewHome-Upper-Carousel > ul > li:nth-child(1)"
"error","WCAG2AA.Principle1.Guideline1_3.1_3_1.F92,ARIA4","This element's role is \"presentation\" but contains child elements with semantic meaning.","<li role=\"presentation\"><button type=\"button\" id=\"slick...</li>","#rm-prodgroup-viewHome-Upper-Carousel > ul > li:nth-child(2)"
"error","WCAG2AA.Principle1.Guideline1_3.1_3_1.F92,ARIA4","This element's role is \"presentation\" but contains child elements with semantic meaning.","<li role=\"presentation\"><button type=\"button\" id=\"slick...</li>","#rm-prodgroup-viewHome-Upper-Carousel > ul > li:nth-child(3)"
"error","WCAG2AA.Principle1.Guideline1_3.1_3_1.F92,ARIA4","This element's role is \"presentation\" but contains child elements with semantic meaning.","<li role=\"presentation\"><button type=\"button\" id=\"slick...</li>","#rm-prodgroup-viewHome-Upper-Carousel > ul > li:nth-child(4)"
"error","WCAG2AA.Principle1.Guideline1_3.1_3_1.F92,ARIA4","This element's role is \"presentation\" but contains child elements with semantic meaning.","<li role=\"presentation\"><button type=\"button\" id=\"slick...</li>","#rm-prodgroup-viewHome-Upper-Carousel > ul > li:nth-child(5)"
"error","WCAG2AA.Principle1.Guideline1_3.1_3_1.F92,ARIA4","This element's role is \"presentation\" but contains child elements with semantic meaning.","<li role=\"presentation\"><button type=\"button\" id=\"slick...</li>","#rm-prodgroup-viewHome-Upper-Carousel > ul > li:nth-child(6)"
"error","WCAG2AA.Principle1.Guideline1_3.1_3_1.F92,ARIA4","This element's role is \"presentation\" but contains child elements with semantic meaning.","<li role=\"presentation\"><button type=\"button\" id=\"slick...</li>","#rm-prodgroup-viewHome-Upper-Carousel > ul > li:nth-child(7)"
"error","WCAG2AA.Principle1.Guideline1_3.1_3_1.F92,ARIA4","This element's role is \"presentation\" but contains child elements with semantic meaning.","<li role=\"presentation\"><button type=\"button\" id=\"slick...</li>","#rm-prodgroup-viewHome-Upper-Carousel > ul > li:nth-child(8)"
"error","WCAG2AA.Principle1.Guideline1_3.1_3_1.F92,ARIA4","This element's role is \"presentation\" but contains child elements with semantic meaning.","<li role=\"presentation\"><button type=\"button\" id=\"slick...</li>","#rm-prodgroup-viewHome-Upper-Carousel > ul > li:nth-child(9)"
"error","WCAG2AA.Principle1.Guideline1_3.1_3_1.F92,ARIA4","This element's role is \"presentation\" but contains child elements with semantic meaning.","<li role=\"presentation\"><button type=\"button\" id=\"slick...</li>","#rm-prodgroup-viewHome-Upper-Carousel > ul > li:nth-child(10)"
"error","WCAG2AA.Principle1.Guideline1_3.1_3_1.F92,ARIA4","This element's role is \"presentation\" but contains child elements with semantic meaning.","<li role=\"presentation\"><button type=\"button\" id=\"slick...</li>","#rm-prodgroup-viewHome-Upper-Carousel > ul > li:nth-child(11)"
"error","WCAG2AA.Principle1.Guideline1_3.1_3_1.F92,ARIA4","This element's role is \"presentation\" but contains child elements with semantic meaning.","<li role=\"presentation\"><button type=\"button\" id=\"slick...</li>","#rm-prodgroup-viewHome-Upper-Carousel > ul > li:nth-child(12)"
"error","WCAG2AA.Principle1.Guideline1_3.1_3_1.F92,ARIA4","This element's role is \"presentation\" but contains child elements with semantic meaning.","<li class=\"slick-active\" role=\"presentation\"><button type=\"button\" id=\"slick...</li>","#rm-prodgroup-viewHome-Carousel > ul > li:nth-child(1)"
"error","WCAG2AA.Principle1.Guideline1_3.1_3_1.F92,ARIA4","This element's role is \"presentation\" but contains child elements with semantic meaning.","<li role=\"presentation\"><button type=\"button\" id=\"slick...</li>","#rm-prodgroup-viewHome-Carousel > ul > li:nth-child(2)"
"error","WCAG2AA.Principle1.Guideline1_3.1_3_1.F92,ARIA4","This element's role is \"presentation\" but contains child elements with semantic meaning.","<li role=\"presentation\"><button type=\"button\" id=\"slick...</li>","#rm-prodgroup-viewHome-Carousel > ul > li:nth-child(3)"
"error","WCAG2AA.Principle1.Guideline1_3.1_3_1.F92,ARIA4","This element's role is \"presentation\" but contains child elements with semantic meaning.","<li role=\"presentation\"><button type=\"button\" id=\"slick...</li>","#rm-prodgroup-viewHome-Carousel > ul > li:nth-child(4)"
"error","WCAG2AA.Principle1.Guideline1_3.1_3_1.F92,ARIA4","This element's role is \"presentation\" but contains child elements with semantic meaning.","<li role=\"presentation\"><button type=\"button\" id=\"slick...</li>","#rm-prodgroup-viewHome-Carousel > ul > li:nth-child(5)"
"error","WCAG2AA.Principle1.Guideline1_3.1_3_1.F92,ARIA4","This element's role is \"presentation\" but contains child elements with semantic meaning.","<li role=\"presentation\"><button type=\"button\" id=\"slick...</li>","#rm-prodgroup-viewHome-Carousel > ul > li:nth-child(6)"
"error","WCAG2AA.Principle1.Guideline1_3.1_3_1.F92,ARIA4","This element's role is \"presentation\" but contains child elements with semantic meaning.","<li role=\"presentation\"><button type=\"button\" id=\"slick...</li>","#rm-prodgroup-viewHome-Carousel > ul > li:nth-child(7)"
"error","WCAG2AA.Principle1.Guideline1_3.1_3_1.F92,ARIA4","This element's role is \"presentation\" but contains child elements with semantic meaning.","<li role=\"presentation\"><button type=\"button\" id=\"slick...</li>","#rm-prodgroup-viewHome-Carousel > ul > li:nth-child(8)"
"error","WCAG2AA.Principle1.Guideline1_3.1_3_1.F92,ARIA4","This element's role is \"presentation\" but contains child elements with semantic meaning.","<li role=\"presentation\"><button type=\"button\" id=\"slick...</li>","#rm-prodgroup-viewHome-Carousel > ul > li:nth-child(9)"
