"type","code","message","context","selector"
"error","WCAG2AA.Principle1.Guideline1_3.1_3_1.F92,ARIA4","This element's role is \"presentation\" but contains child elements with semantic meaning.","<li class=\"top-nav-item wt-pb-xs-2 wt-mr-xs-2 wt-display-flex-xs wt-align-items-center\" data-linkable=\"true\" data-ui=\"top-nav-category-link\" data-node-id=\"10855\" role=\"presentation\" tabindex=\"-1\">\n                    <a href=\"/...</li>","#desktop-category-nav > div:nth-child(1) > div > ul > li:nth-child(2)"
"error","WCAG2AA.Principle1.Guideline1_3.1_3_1.F92,ARIA4","This element's role is \"presentation\" but contains child elements with semantic meaning.","<li class=\"top-nav-item wt-pb-xs-2 wt-mr-xs-2 wt-display-flex-xs wt-align-items-center\" data-linkable=\"true\" data-ui=\"top-nav-category-link\" data-node-id=\"10923\" role=\"presentation\" tabindex=\"-1\">\n                    <a href=\"/...</li>","#desktop-category-nav > div:nth-child(1) > div > ul > li:nth-child(3)"
"error","WCAG2AA.Principle1.Guideline1_3.1_3_1.F92,ARIA4","This element's role is \"presentation\" but contains child elements with semantic meaning.","<li class=\"top-nav-item wt-pb-xs-2 wt-mr-xs-2 wt-display-flex-xs wt-align-items-center\" data-linkable=\"true\" data-ui=\"top-nav-category-link\" data-node-id=\"891\" role=\"presentation\" tabindex=\"-1\">\n                    <a href=\"/...</li>","#desktop-category-nav > div:nth-child(1) > div > ul > li:nth-child(4)"
"error","WCAG2AA.Principle1.Guideline1_3.1_3_1.F92,ARIA4","This element's role is \"presentation\" but contains child elements with semantic meaning.","<li class=\"top-nav-item wt-pb-xs-2 wt-mr-xs-2 wt-display-flex-xs wt-align-items-center\" data-linkable=\"true\" data-ui=\"top-nav-category-link\" data-node-id=\"10983\" role=\"presentation\" tabindex=\"-1\">\n                    <a href=\"/...</li>","#desktop-category-nav > div:nth-child(1) > div > ul > li:nth-child(5)"
"error","WCAG2AA.Principle1.Guideline1_3.1_3_1.F92,ARIA4","This element's role is \"presentation\" but contains child elements with semantic meaning.","<li class=\"top-nav-item wt-pb-xs-2 wt-mr-xs-2 wt-display-flex-xs wt-align-items-center\" data-linkable=\"true\" data-ui=\"top-nav-category-link\" data-node-id=\"11049\" role=\"presentation\" tabindex=\"-1\">\n                    <a href=\"/...</li>","#desktop-category-nav > div:nth-child(1) > div > ul > li:nth-child(6)"
"error","WCAG2AA.Principle1.Guideline1_3.1_3_1.F92,ARIA4","This element's role is \"presentation\" but contains child elements with semantic meaning.","<li class=\"top-nav-item wt-pb-xs-2 wt-mr-xs-2 wt-display-flex-xs wt-align-items-center\" data-linkable=\"true\" data-ui=\"top-nav-category-link\" data-node-id=\"66\" role=\"presentation\" tabindex=\"-1\">\n                    <a href=\"/...</li>","#desktop-category-nav > div:nth-child(1) > div > ul > li:nth-child(7)"
"error","WCAG2AA.Principle1.Guideline1_3.1_3_1.F92,ARIA4","This element's role is \"presentation\" but contains child elements with semantic meaning.","<li class=\"top-nav-item wt-pb-xs-2 wt-mr-xs-2 wt-display-flex-xs wt-align-items-center\" data-linkable=\"true\" data-ui=\"top-nav-category-link\" data-node-id=\"562\" role=\"presentation\" tabindex=\"-1\">\n                    <a href=\"/...</li>","#desktop-category-nav > div:nth-child(1) > div > ul > li:nth-child(8)"
"error","WCAG2AA.Principle1.Guideline1_3.1_3_1.F92,ARIA4","This element's role is \"presentation\" but contains child elements with semantic meaning.","<li class=\"top-nav-item wt-pb-xs-2 wt-mr-xs-2 wt-display-flex-xs wt-align-items-center\" data-linkable=\"true\" data-ui=\"top-nav-category-link\" data-node-id=\"-10\" role=\"presentation\" tabindex=\"-1\">\n                    <a href=\"/...</li>","#desktop-category-nav > div:nth-child(1) > div > ul > li:nth-child(9)"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_3_F24.F24.FGColour","Check that this element has an inherited background colour or image to complement the corresponding inline foreground colour.","<link rel=\"mask-icon\" href=\"/images/safari-pinned-tab.svg\" color=\"rgb(241, 100, 30)\">","html > head > link:nth-child(73)"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.","<span class=\"wt-screen-reader-only\">Etsy</span>","#gnav-header-inner > div:nth-child(2) > a > span:nth-child(1)"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.","<label for=\"global-enhancements-search-query\" class=\"wt-label wt-screen-reader-only\">\n   Search for items or shops\n</label>","#gnav-search > label"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.","<label class=\"wt-btn wt-btn--transparent wt-btn--light\">\n            Skip to Content\n  ...</label>","#gnav-header-inner > a > div > label"
"warning","WCAG2AA.Principle1.Guideline1_1.1_1_1.H67.2","Img element is marked so that it is ignored by Assistive Technology.","<img src=\"https://i.etsystatic.com/8622539/r/il/5f49e7/4230273768/il_300x300.4230273768_rsmi.jpg\" class=\"query-image wt-position-absolute wt-position-top wt-position-left wt-b-xs wt-circle wt-width-full wt-height-full\" alt=\"\">","#content > div > div:nth-child(1) > div:nth-child(3) > div > ul > li:nth-child(1) > a > div:nth-child(1) > div > img"
"warning","WCAG2AA.Principle1.Guideline1_1.1_1_1.H67.2","Img element is marked so that it is ignored by Assistive Technology.","<img src=\"https://i.etsystatic.com/23670574/c/2025/2025/310/0/il/ffc61a/4404886671/il_300x300.4404886671_fodt.jpg\" class=\"query-image wt-position-absolute wt-position-top wt-position-left wt-b-xs wt-circle wt-width-full wt-height-full\" alt=\"\">","#content > div > div:nth-child(1) > div:nth-child(3) > div > ul > li:nth-child(2) > a > div:nth-child(1) > div > img"
"warning","WCAG2AA.Principle1.Guideline1_1.1_1_1.H67.2","Img element is marked so that it is ignored by Assistive Technology.","<img src=\"https://i.etsystatic.com/27977499/r/il/cb7908/4609709818/il_300x300.4609709818_2qo3.jpg\" class=\"query-image wt-position-absolute wt-position-top wt-position-left wt-b-xs wt-circle wt-width-full wt-height-full\" alt=\"\">","#content > div > div:nth-child(1) > div:nth-child(3) > div > ul > li:nth-child(3) > a > div:nth-child(1) > div > img"
"warning","WCAG2AA.Principle1.Guideline1_1.1_1_1.H67.2","Img element is marked so that it is ignored by Assistive Technology.","<img src=\"https://i.etsystatic.com/8040299/c/1939/1939/174/799/il/7c9366/4450826397/il_300x300.4450826397_s79g.jpg\" class=\"query-image wt-position-absolute wt-position-top wt-position-left wt-b-xs wt-circle wt-width-full wt-height-full\" alt=\"\">","#content > div > div:nth-child(1) > div:nth-child(3) > div > ul > li:nth-child(4) > a > div:nth-child(1) > div > img"
