"type","code","message","context","selector"
"error","WCAG2AA.Principle2.Guideline2_4.2_4_1.H64.1","Iframe element requires a non-empty title attribute that identifies the frame.","<iframe height=\"0\" width=\"0\" style=\"display: none; visibility: hidden;\" src=\"https://8666735.fls.doubleclick.net/activityi;src=8666735;type=count0;cat=etsy_00;ord=1;num=427022587060;gtm=45He3360;auiddc=1472449752.1678228543;u2=nnZ_6ksPkfl1eOwkm9jUEWq...","html > body > iframe:nth-child(25)"
"error","WCAG2AA.Principle2.Guideline2_4.2_4_1.H64.1","Iframe element requires a non-empty title attribute that identifies the frame.","<iframe height=\"0\" width=\"0\" style=\"display: none; visibility: hidden;\" src=\"https://8666735.fls.doubleclick.net/activityi;src=8666735;type=count0;cat=etsy_000;ord=1;num=7623729797341;gtm=45He3360;auiddc=1472449752.1678228543;~oref=https%3A%2F%2Fwww....","html > body > iframe:nth-child(26)"
"error","WCAG2AA.Principle1.Guideline1_1.1_1_1.H37","Img element missing an alt attribute. Use the alt attribute to specify a short text alternative.","<img height=\"1\" width=\"1\" style=\"display:none\" src=\"https://www.facebook.com/tr?uuid=1678228541&amp;id=114623403312281&amp;ev=PageView&amp;ud[em]=%27%27%22\">","html > body > img:nth-child(28)"
"error","WCAG2AA.Principle2.Guideline2_4.2_4_1.H64.1","Iframe element requires a non-empty title attribute that identifies the frame.","<iframe height=\"0\" width=\"0\" style=\"display: none; visibility: hidden;\" src=\"https://9910951.fls.doubleclick.net/activityi;src=9910951;type=remarkt;cat=unive0;ord=3976199746281;gtm=45He3360;auiddc=1472449752.1678228543;u2=%2F;u3=undefined;~oref=https...","html > body > iframe:nth-child(29)"
"error","WCAG2AA.Principle1.Guideline1_1.1_1_1.H37","Img element missing an alt attribute. Use the alt attribute to specify a short text alternative.","<img height=\"1\" width=\"1\" style=\"display:none\" src=\"https://www.facebook.com/tr?uuid=1678228541&amp;id=297472060462208&amp;ev=PageView&amp;ud[em]=%27%27%22\">","html > body > img:nth-child(30)"
"error","WCAG2AA.Principle1.Guideline1_1.1_1_1.H37","Img element missing an alt attribute. Use the alt attribute to specify a short text alternative.","<img height=\"1\" width=\"1\" style=\"display:none\" src=\"https://www.facebook.com/tr?id=395490361516997&amp;ev=PageView&amp;cd[order_id]=1900254474.1678228543\">","html > body > img:nth-child(37)"
"error","WCAG2AA.Principle2.Guideline2_4.2_4_1.H64.1","Iframe element requires a non-empty title attribute that identifies the frame.","<iframe width=\"1\" height=\"1\" frameborder=\"0\" style=\"display:none\" src=\"https://d.agkn.com/iframe/10898/?che=1678228541&amp;gauid=1900254474.1678228543\"></iframe>","html > body > iframe:nth-child(38)"
"error","WCAG2AA.Principle2.Guideline2_4.2_4_1.H64.1","Iframe element requires a non-empty title attribute that identifies the frame.","<iframe height=\"0\" width=\"0\" style=\"display: none; visibility: hidden;\" src=\"https://8666735.fls.doubleclick.net/activityi;src=8666735;type=count0;cat=etsy_00;ord=1;num=2028400883159;gtm=45He3360;auiddc=1861974442.1678228549;u2=JGKPcYhtwaiyWeVAB5Uvok...","html > body > iframe:nth-child(25)"
"error","WCAG2AA.Principle2.Guideline2_4.2_4_1.H64.1","Iframe element requires a non-empty title attribute that identifies the frame.","<iframe height=\"0\" width=\"0\" style=\"display: none; visibility: hidden;\" src=\"https://8666735.fls.doubleclick.net/activityi;src=8666735;type=count0;cat=etsy_000;ord=1;num=7129422120873;gtm=45He3360;auiddc=1861974442.1678228549;~oref=https%3A%2F%2Fwww....","html > body > iframe:nth-child(26)"
"error","WCAG2AA.Principle1.Guideline1_1.1_1_1.H37","Img element missing an alt attribute. Use the alt attribute to specify a short text alternative.","<img height=\"1\" width=\"1\" style=\"display:none\" src=\"https://www.facebook.com/tr?uuid=1678228547&amp;id=114623403312281&amp;ev=PageView&amp;ud[em]=%27%27%22\">","html > body > img:nth-child(28)"
