"type","code","message","context","selector"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.Button.Name","This button element does not have a name available to an accessibility API. Valid names are: title undefined, element content, aria-label undefined, aria-labelledby undefined.","<button data-context=\"global_navigation\" type=\"button\" class=\"uitk-button uitk-button-large uitk-button-tertiary uitk-button-only-icon global-navigation-nav-button\"><div class=\"uitk-layout-positio...</button>","#app-layer-base > div:nth-child(1) > div:nth-child(1) > header > div > section > div > div > div:nth-child(3) > a:nth-child(5) > button"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.InputText.Name","This textinput element does not have a name available to an accessibility API. Valid names are: label element, title undefined, aria-label undefined, aria-labelledby undefined.","<input type=\"text\" class=\"uitk-field-input is-hidden empty-placeholder\" placeholder=\"\" aria-required=\"false\" aria-invalid=\"false\" value=\"\">","#location-field-destination-menu > div > div > div:nth-child(1) > input"
"error","WCAG2AA.Principle1.Guideline1_3.1_3_1.F68","This form field should be labelled in some way. Use the label element (either with a \"for\" attribute or wrapped around the form field), or \"title\", \"aria-label\" or \"aria-labelledby\" attributes as appropriate.","<input type=\"text\" class=\"uitk-field-input is-hidden empty-placeholder\" placeholder=\"\" aria-required=\"false\" aria-invalid=\"false\" value=\"\">","#location-field-destination-menu > div > div > div:nth-child(1) > input"
"error","WCAG2AA.Principle2.Guideline2_4.2_4_1.H64.1","Iframe element requires a non-empty title attribute that identifies the frame.","<iframe height=\"0\" width=\"0\" style=\"display: none; visibility: hidden;\" src=\"https://9224405.fls.doubleclick.net/activityi;src=9224405;type=globm1;cat=globa0;ord=3884794686363;gtm=45fe3310;auiddc=2064259163.1678170119;~oref=https%3A%2F%2Fwww.expedia....","html > body > iframe:nth-child(33)"
"error","WCAG2AA.Principle2.Guideline2_4.2_4_1.H64.1","Iframe element requires a non-empty title attribute that identifies the frame.","<iframe height=\"0\" width=\"0\" style=\"display: none; visibility: hidden;\" src=\"https://9224405.fls.doubleclick.net/activityi;src=9224405;type=globm1;cat=globa002;ord=1;num=8363928506817;gtm=45fe3310;auiddc=2064259163.1678170119;~oref=https%3A%2F%2Fwww....","html > body > iframe:nth-child(34)"
"error","WCAG2AA.Principle2.Guideline2_4.2_4_1.H64.1","Iframe element requires a non-empty title attribute that identifies the frame.","<iframe src=\"https://cbbd215b74fbc958bb0b0303c0a6c57a.safeframe.googlesyndication.com/safeframe/1-0-40/html/container.html\" style=\"visibility: hidden; display: none;\"></iframe>","html > body > iframe:nth-child(36)"
"error","WCAG2AA.Principle2.Guideline2_4.2_4_1.H64.1","Iframe element requires a non-empty title attribute that identifies the frame.","<iframe name=\"google_ads_top_frame\" id=\"google_ads_top_frame\" style=\"display: none; position: fixed; left: -999px; top: -999px; width: 0px; height: 0px;\"></iframe>","#google_ads_top_frame"
"error","WCAG2AA.Principle2.Guideline2_4.2_4_1.H64.1","Iframe element requires a non-empty title attribute that identifies the frame.","<iframe src=\"https://www.google.com/recaptcha/api2/aframe\" width=\"0\" height=\"0\" style=\"display: none;\"></iframe>","html > body > iframe:nth-child(39)"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.","<span class=\"uitk-menu-list-item-label\">Skip to main content</span>","#app-layer-base > div:nth-child(1) > div:nth-child(1) > div:nth-child(3) > div > a > span"
"warning","WCAG2AA.Principle1.Guideline1_3.1_3_1.H48","If this element contains a navigation section, it is recommended that it be marked up as a list.","<div class=\"uitk-layout-flex uitk-layout-flex-align-items-center uitk-layout-flex-justify-content-flex-end uitk-layout-flex-flex-wrap-nowrap uitk-layout-flex-item uitk-layout-flex-item-flex-basis-half_width uitk-layout-flex-item-flex-grow-1\"><button ...","#app-layer-base > div:nth-child(1) > div:nth-child(1) > header > div > section > div > div > div:nth-child(3)"
