"type","code","message","context","selector"
"error","WCAG2AA.Principle2.Guideline2_4.2_4_1.H64.1","Iframe element requires a non-empty title attribute that identifies the frame.","<iframe name=\"google_ads_top_frame\" id=\"google_ads_top_frame\" style=\"display: none; position: fixed; left: -999px; top: -999px; width: 0px; height: 0px;\"></iframe>","#google_ads_top_frame"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.","<span class=\"uitk-menu-list-item-label\">Skip to main content</span>","#app-layer-base > div:nth-child(1) > div:nth-child(1) > div:nth-child(3) > div > a > span"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.","<h1 class=\"uitk-heading uitk-heading-6 sr-only\">Expedia Travel: Search Hotels, ...</h1>","#app-layer-base > div:nth-child(1) > div:nth-child(2) > div:nth-child(1) > div:nth-child(1) > h1"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.","<h2 class=\"uitk-heading uitk-heading-6 sr-only\">Search for travel</h2>","#app-layer-base > div:nth-child(1) > div:nth-child(2) > div:nth-child(1) > div:nth-child(2) > h2"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.","<span class=\"is-visually-hidden\">Change or cancel a trip</span>","#app-layer-base > div:nth-child(1) > div:nth-child(2) > div:nth-child(1) > div:nth-child(6) > div:nth-child(3) > div > div > section > div > div > div:nth-child(1) > button > span"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.","<span class=\"is-visually-hidden\">Use a credit or coupon</span>","#app-layer-base > div:nth-child(1) > div:nth-child(2) > div:nth-child(1) > div:nth-child(6) > div:nth-child(3) > div > div > section > div > div > div:nth-child(2) > button > span"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.","<span class=\"is-visually-hidden\">Track your refund</span>","#app-layer-base > div:nth-child(1) > div:nth-child(2) > div:nth-child(1) > div:nth-child(6) > div:nth-child(3) > div > div > section > div > div > div:nth-child(3) > button > span"
"warning","WCAG2AA.Principle1.Guideline1_1.1_1_1.H67.2","Img element is marked so that it is ignored by Assistive Technology.","<img alt=\"\" class=\"uitk-image-media\" src=\"https://a.travel-assets.com/travel-assets-manager/cread-981/US-HP-Edi-3UP-384x256px.jpg\">","#editorial-4 > div > div > div > div:nth-child(1) > figure > div > img"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.","<span class=\"is-visually-hidden\">INTERNATIONAL ESCAPES</span>","#editorial-4 > div > div > a > span"
"warning","WCAG2AA.Principle1.Guideline1_1.1_1_1.H67.2","Img element is marked so that it is ignored by Assistive Technology.","<img alt=\"\" class=\"uitk-image-media\" src=\"https://a.travel-assets.com/travel-assets-manager/cread-841/POSa-Site-Editorial3-384x256.jpg\">","#editorial-5 > div > div > div > div:nth-child(1) > figure > div > img"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.","<span class=\"is-visually-hidden\">SAVE ON FLIGHTS TO GET GOING</span>","#editorial-5 > div > div > a > span"
"warning","WCAG2AA.Principle1.Guideline1_1.1_1_1.H67.2","Img element is marked so that it is ignored by Assistive Technology.","<img alt=\"\" class=\"uitk-image-media\" src=\"https://a.travel-assets.com/travel-assets-manager/cread-530/US-HP-Edi-3UP-384x256px.jpg\">","#editorial-6 > div > div > div > div:nth-child(1) > figure > div > img"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.","<span class=\"is-visually-hidden\">book for spring</span>","#editorial-6 > div > div > a > span"
"warning","WCAG2AA.Principle1.Guideline1_1.1_1_1.H67.2","Img element is marked so that it is ignored by Assistive Technology.","<img alt=\"\" class=\"uitk-image-media\" src=\"https://a.travel-assets.com/travel-assets-manager/ceorg-2500/CitiBreaks-USCA-HP-Edi-2UP-457x257.jpg\">","#editorial-7 > div > div > div > div:nth-child(1) > figure > div > img"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.","<span class=\"is-visually-hidden\">CITY BREAKS</span>","#editorial-7 > div > div > a > span"
"warning","WCAG2AA.Principle1.Guideline1_1.1_1_1.H67.2","Img element is marked so that it is ignored by Assistive Technology.","<img alt=\"\" class=\"uitk-image-media\" src=\"https://a.travel-assets.com/travel-assets-manager/cread-945/HP-Edi-2UP-457x257.jpg\">","#editorial-8 > div > div > div > div:nth-child(1) > figure > div > img"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.","<span class=\"is-visually-hidden\">BEACHSIDE PACKAGE GETAWAYS</span>","#editorial-8 > div > div > a > span"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_3.G145.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 3:1.","<h2 class=\"uitk-heading uitk-heading-4 is-visually-hidden\">Additional information about Ex...</h2>","#app-layer-base > div:nth-child(1) > div:nth-child(2) > div:nth-child(3) > h2"
