"type","code","message","context","selector"
"error","WCAG2AA.Principle2.Guideline2_4.2_4_1.H64.1","Iframe element requires a non-empty title attribute that identifies the frame.","<iframe height=\"0\" width=\"0\" style=\"display: none; visibility: hidden;\" src=\"https://9224405.fls.doubleclick.net/activityi;src=9224405;type=globm1;cat=globa0;ord=4425767547457;gtm=45fe3310h1;auiddc=1818651253.1678180355;~oref=https%3A%2F%2Fwww.expedi...","html > body > iframe:nth-child(35)"
"error","WCAG2AA.Principle2.Guideline2_4.2_4_1.H64.1","Iframe element requires a non-empty title attribute that identifies the frame.","<iframe height=\"0\" width=\"0\" style=\"display: none; visibility: hidden;\" src=\"https://9224405.fls.doubleclick.net/activityi;src=9224405;type=globm1;cat=globa002;ord=1;num=922094895633;gtm=45fe3310h1;auiddc=1818651253.1678180355;~oref=https%3A%2F%2Fwww...","html > body > iframe:nth-child(36)"
"error","WCAG2AA.Principle2.Guideline2_4.2_4_1.H64.1","Iframe element requires a non-empty title attribute that identifies the frame.","<iframe src=\"https://00e8c53d47f49f41ae77182913b2f1dc.safeframe.googlesyndication.com/safeframe/1-0-40/html/container.html\" style=\"visibility: hidden; display: none;\"></iframe>","html > body > iframe:nth-child(37)"
"error","WCAG2AA.Principle2.Guideline2_4.2_4_1.H64.1","Iframe element requires a non-empty title attribute that identifies the frame.","<iframe name=\"google_ads_top_frame\" id=\"google_ads_top_frame\" style=\"display: none; position: fixed; left: -999px; top: -999px; width: 0px; height: 0px;\"></iframe>","#google_ads_top_frame"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_10.C32,C31,C33,C38,SCR34,G206","This element has \"position: fixed\". This may require scrolling in two dimensions, which is considered a failure of this Success Criterion.","<div id=\"app-layer-customer-notification-centered-sheet-dialog\" class=\"uitk-dialog-layer uitk-dialog-layer-responsive layer-overlay-active\" aria-hidden=\"false\" tabindex=\"-1\"><section class=\"uitk-centered-s...</div>","#app-layer-customer-notification-centered-sheet-dialog"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_10.C32,C31,C33,C38,SCR34,G206","This element has \"position: fixed\". This may require scrolling in two dimensions, which is considered a failure of this Success Criterion.","<section class=\"uitk-centered-sheet uitk-spacing uitk-spacing-margin-inline-six uitk-sheet uitk-centered-sheet-small\" tabindex=\"-1\" role=\"dialog\" aria-modal=\"true\"><div tabindex=\"0\" aria-hidden=\"...</section>","#app-layer-customer-notification-centered-sheet-dialog > section"
"warning","WCAG2AA.Principle1.Guideline1_1.1_1_1.H67.2","Img element is marked so that it is ignored by Assistive Technology.","<img style=\"width:0px; height:0px; display:none; visibility:hidden;\" id=\"batBeacon880892373268\" width=\"0\" height=\"0\" alt=\"\" src=\"https://bat.bing.com/action/0?ti=56343525&amp;Ver=2&amp;mid=80f05396-0eec-4bb2-92fc-794c88bbc186&amp;sid=32d1b670bcc811ed...","#batBeacon880892373268"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_10.C32,C31,C33,C38,SCR34,G206","This element has \"position: fixed\". This may require scrolling in two dimensions, which is considered a failure of this Success Criterion.","<iframe name=\"google_ads_top_frame\" id=\"google_ads_top_frame\" style=\"display: none; position: fixed; left: -999px; top: -999px; width: 0px; height: 0px;\"></iframe>","#google_ads_top_frame"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_10.C32,C31,C33,C38,SCR34,G206","This element has \"position: fixed\". This may require scrolling in two dimensions, which is considered a failure of this Success Criterion.","<div class=\"vac_iframes_wrapper vac_fab\" role=\"dialog\" aria-modal=\"true\" aria-label=\"Virtual Agent\"><iframe src=\"https://vac.vap.ex...</div>","html > body > div:nth-child(39)"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_3.G145.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 3:1.","<h2 class=\"uitk-heading uitk-heading-4 is-visually-hidden\">Additional information about Ex...</h2>","#app-layer-base > div:nth-child(1) > div:nth-child(2) > div:nth-child(3) > h2"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.","<h1 class=\"uitk-heading uitk-heading-6 sr-only\">Expedia Travel: Search Hotels, ...</h1>","#app-layer-base > div:nth-child(1) > div:nth-child(2) > div:nth-child(1) > div:nth-child(1) > h1"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.","<h2 class=\"uitk-heading uitk-heading-6 sr-only\">Search for travel</h2>","#app-layer-base > div:nth-child(1) > div:nth-child(2) > div:nth-child(1) > div:nth-child(2) > h2"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.","<span class=\"uitk-menu-list-item-label\">Skip to main content</span>","#app-layer-base > div:nth-child(1) > div:nth-child(1) > div:nth-child(3) > div > a > span"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.","<span class=\"is-visually-hidden\">INTERNATIONAL ESCAPES</span>","#editorial-4 > div > div > a > span"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.","<span class=\"is-visually-hidden\">SAVE ON FLIGHTS TO GET GOING</span>","#editorial-5 > div > div > a > span"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.","<span class=\"is-visually-hidden\">book for spring</span>","#editorial-6 > div > div > a > span"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.","<span class=\"is-visually-hidden\">CITY BREAKS</span>","#editorial-7 > div > div > a > span"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.","<span class=\"is-visually-hidden\">BEACHSIDE PACKAGE GETAWAYS</span>","#editorial-8 > div > div > a > span"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.","<span class=\"is-visually-hidden\">Change or cancel a trip</span>","#app-layer-base > div:nth-child(1) > div:nth-child(2) > div:nth-child(1) > div:nth-child(6) > div:nth-child(3) > div > div > section > div > div > div:nth-child(1) > button > span"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.","<span class=\"is-visually-hidden\">Use a credit or coupon</span>","#app-layer-base > div:nth-child(1) > div:nth-child(2) > div:nth-child(1) > div:nth-child(6) > div:nth-child(3) > div > div > section > div > div > div:nth-child(2) > button > span"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.","<span class=\"is-visually-hidden\">Track your refund</span>","#app-layer-base > div:nth-child(1) > div:nth-child(2) > div:nth-child(1) > div:nth-child(6) > div:nth-child(3) > div > div > section > div > div > div:nth-child(3) > button > span"
