"type","code","message","context","selector"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.InputText.Name","This textinput element does not have a name available to an accessibility API. Valid names are: label element, title undefined, aria-label undefined, aria-labelledby undefined.","<input placeholder=\"Data Structures and \" class=\"ant-input ant-input-lg\" type=\"text\" value=\"\">","#RA-root > div > div:nth-child(1) > div:nth-child(1) > div:nth-child(2) > span > span > span:nth-child(1) > input"
"error","WCAG2AA.Principle1.Guideline1_3.1_3_1.F68","This form field should be labelled in some way. Use the label element (either with a \"for\" attribute or wrapped around the form field), or \"title\", \"aria-label\" or \"aria-labelledby\" attributes as appropriate.","<input placeholder=\"Data Structures and \" class=\"ant-input ant-input-lg\" type=\"text\" value=\"\">","#RA-root > div > div:nth-child(1) > div:nth-child(1) > div:nth-child(2) > span > span > span:nth-child(1) > input"
"error","WCAG2AA.Principle1.Guideline1_1.1_1_1.H37","Img element missing an alt attribute. Use the alt attribute to specify a short text alternative.","<img class=\"gfg_home_page_search_image\" src=\"https://media.geeksforgeeks.org/auth-dashboard-uploads/image-%2822%29.png\">","#RA-root > div > div:nth-child(2) > div:nth-child(1) > div:nth-child(2) > div > div > div > div > div:nth-child(1) > a > div > div:nth-child(1) > div > div:nth-child(1) > img"
"error","WCAG2AA.Principle1.Guideline1_1.1_1_1.H37","Img element missing an alt attribute. Use the alt attribute to specify a short text alternative.","<img class=\"gfg_home_page_search_image\" src=\"https://media.geeksforgeeks.org/auth-dashboard-uploads/image-%2821%29.png\">","#RA-root > div > div:nth-child(2) > div:nth-child(1) > div:nth-child(2) > div > div > div > div > div:nth-child(2) > a > div > div:nth-child(1) > div > div:nth-child(1) > img"
"error","WCAG2AA.Principle1.Guideline1_1.1_1_1.H37","Img element missing an alt attribute. Use the alt attribute to specify a short text alternative.","<img class=\"gfg_home_page_search_image\" src=\"https://media.geeksforgeeks.org/auth-dashboard-uploads/image-%2823%29.png\">","#RA-root > div > div:nth-child(2) > div:nth-child(1) > div:nth-child(2) > div > div > div > div > div:nth-child(3) > a > div > div:nth-child(1) > div > div:nth-child(1) > img"
"error","WCAG2AA.Principle1.Guideline1_1.1_1_1.H37","Img element missing an alt attribute. Use the alt attribute to specify a short text alternative.","<img class=\"ant-image-img gfg_home_page_potd_image gfg_home_page_potd_image_small\" src=\"https://media.geeksforgeeks.org/img-practice/Asset1-1641910145.svg\">","#RA-root > div > div:nth-child(4) > a > div > div > div > div > div > div:nth-child(1) > div > div > img"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 4.18:1. Recommendation:  change text colour to #2a8740.","<div class=\"ant-row gfg_home_page_potd_banner_title\">Problem of the day</div>","#RA-root > div > div:nth-child(4) > a > div > div > div > div > div > div:nth-child(2) > div > div:nth-child(1)"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.InputText.Name","This textinput element does not have a name available to an accessibility API. Valid names are: label element, title undefined, aria-label undefined, aria-labelledby undefined.","<input class=\"gcse-search-input__wrapper\" id=\"gcse-search-input\" aria-expanded=\"false\">","#gcse-search-input"
"error","WCAG2AA.Principle1.Guideline1_3.1_3_1.F68","This form field should be labelled in some way. Use the label element (either with a \"for\" attribute or wrapped around the form field), or \"title\", \"aria-label\" or \"aria-labelledby\" attributes as appropriate.","<input class=\"gcse-search-input__wrapper\" id=\"gcse-search-input\" aria-expanded=\"false\">","#gcse-search-input"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.Button.Name","This button element does not have a name available to an accessibility API. Valid names are: title undefined, element content, aria-label undefined, aria-labelledby undefined.","<button class=\"gcse-search__btn not-expanded\">\n<i class=\"gfg-icon gfg-icon_se...</button>","#gcse-form > button"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.Button.Name","This button element does not have a name available to an accessibility API. Valid names are: title undefined, element content, aria-label undefined, aria-labelledby undefined.","<button class=\"toggle-darkMode\" data-gfg-action=\"toggleGFGTheme\">\n<i class=\"gfg-icon gfg-icon_da...</button>","html > body > div:nth-child(2) > div:nth-child(5) > div:nth-child(2) > div:nth-child(2) > button:nth-child(1)"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.Button.Name","This button element does not have a name available to an accessibility API. Valid names are: title undefined, element content, aria-label undefined, aria-labelledby undefined.","<button class=\"header-main__slider-arrow previous\">\n<i class=\"gfg-icon gfg-icon_ar...</button>","html > body > div:nth-child(3) > button:nth-child(1)"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.Button.Name","This button element does not have a name available to an accessibility API. Valid names are: title undefined, element content, aria-label undefined, aria-labelledby undefined.","<button class=\"header-main__slider-arrow next\">\n<i class=\"gfg-icon gfg-icon_ar...</button>","html > body > div:nth-child(3) > button:nth-child(3)"
