"type","code","message","context","selector"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_10.C32,C31,C33,C38,SCR34,G206","This element has \"position: fixed\". This may require scrolling in two dimensions, which is considered a failure of this Success Criterion.","<div class=\"CookiesAlert_cookiesAlert__3qSl1\"><div class=\"CookiesAlert_cookie...</div>","#spa-root > div:nth-child(1) > div:nth-child(1) > div:nth-child(1)"
"warning","WCAG2AA.Principle1.Guideline1_3.1_3_1_A.G141","The heading structure is not logically nested. This h4 element appears to be the primary document heading, so should be an h1 element.","<h4 class=\"CookiesAlert_cookiesAlert__title__3tmgD\">We use cookies on our website t...</h4>","#spa-root > div:nth-child(1) > div:nth-child(1) > div:nth-child(1) > div > h4"
"warning","WCAG2AA.Principle1.Guideline1_3.1_3_1_A.G141","The heading structure is not logically nested. This h4 element should be an h1 to be properly nested.","<h4 class=\"CookiesAlert_cookiesAlert__title__3tmgD\">We use cookies on our website t...</h4>","#spa-root > div:nth-child(1) > div:nth-child(1) > div:nth-child(1) > div > h4"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_10.C32,C31,C33,C38,SCR34,G206","This element has \"position: fixed\". This may require scrolling in two dimensions, which is considered a failure of this Success Criterion.","<header id=\"header\" class=\"header\"><div class=\"aem-container aem-G...</header>","#header"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.","<span class=\"visuallyHidden\">Search</span>","#header > div:nth-child(1) > div:nth-child(2) > div:nth-child(1) > div > div:nth-child(1) > div > div:nth-child(3) > button > div:nth-child(2) > span"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.","<span class=\"Search_action__text__3niGG visuallyHidden\">Search</span>","#header > div:nth-child(1) > div:nth-child(2) > div:nth-child(1) > div > div:nth-child(1) > div > div:nth-child(3) > button > span"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.","<span class=\"ShoppingList_action__text__Ce7aa visuallyHidden\">Shopping List</span>","#header > div:nth-child(1) > div:nth-child(2) > div:nth-child(1) > div > div:nth-child(1) > div > div:nth-child(4) > a > span"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_3_F24.F24.BGColour","Check that this element has an inherited foreground colour to complement the corresponding inline background colour or image.","<div class=\"HeroBannerFull_wrapper__3l8YI\" style=\"background: url(&quot;/content/dam/trjo/context-images/vertical-format/75375-strawberries-cream-gelato-IG.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg&quot;) 0% 0% / cover;\"><section class=\"He...","#spa-root > div:nth-child(1) > div:nth-child(1) > div:nth-child(2) > div:nth-child(1) > div > div:nth-child(2) > main > div > div > div:nth-child(1) > div:nth-child(1) > div > div > div:nth-child(1)"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_3.G145.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 3:1.","<h2 class=\"HeroBannerFull_heroBannerFull__title__3TN9x\">Strawberries &amp; Cream Gelato</h2>","#spa-root > div:nth-child(1) > div:nth-child(1) > div:nth-child(2) > div:nth-child(1) > div > div:nth-child(2) > main > div > div > div:nth-child(1) > div:nth-child(1) > div > div > div:nth-child(1) > section > h2"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 4.5:1.","<p class=\"HeroBannerFull_heroBannerFull__description__1q7NN\">Made in Italy for Trader Joe's,...</p>","#spa-root > div:nth-child(1) > div:nth-child(1) > div:nth-child(2) > div:nth-child(1) > div > div:nth-child(2) > main > div > div > div:nth-child(1) > div:nth-child(1) > div > div > div:nth-child(1) > section > p"
