"type","code","message","context","selector"
"error","WCAG2AA.Principle1.Guideline1_1.1_1_1.H37","Img element missing an alt attribute. Use the alt attribute to specify a short text alternative.","<img id=\"adblock-detection\" src=\"/adBlockBait.png?ad_type=FakeAd\">","#adblock-detection"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.Fieldset.Name","This fieldset element does not have a name available to an accessibility API. Valid names are: legend element, aria-label undefined, aria-labelledby undefined.","<fieldset name=\"flightType\" class=\"app-components-BookFlightForm-bookFlightForm__radioFieldGroup--3IMzX\"><div class=\"app-components-Book...</fieldset>","#bookFlightForm > div:nth-child(1) > fieldset"
"error","WCAG2AA.Principle1.Guideline1_3.1_3_1.H71.NoLegend","Fieldset does not contain a legend element. All fieldsets should contain a legend element that describes a description of the field group.","<fieldset name=\"flightType\" class=\"app-components-BookFlightForm-bookFlightForm__radioFieldGroup--3IMzX\"><div class=\"app-components-Book...</fieldset>","#bookFlightForm > div:nth-child(1) > fieldset"
"error","WCAG2AA.Principle1.Guideline1_3.1_3_1.H71.NoLegend","Fieldset does not contain a legend element. All fieldsets should contain a legend element that describes a description of the field group.","<fieldset class=\"app-containers-Carousel-carousel__navigation--CmSUB\" aria-label=\"Carousel buttons\" aria-controls=\"carousel-homepage-container\" aria-live=\"off\"><button aria-label=\"Pause\" clas...</fieldset>","#app > div > div > div > div:nth-child(3) > div:nth-child(3) > div > div > div:nth-child(1) > div > main > section > div > div > div:nth-child(3) > div > div:nth-child(1) > div > div > article > fieldset"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.Fieldset.Name","This fieldset element does not have a name available to an accessibility API. Valid names are: legend element, aria-label undefined, aria-labelledby undefined.","<fieldset class=\"atm-c-toggle-checkbox-field atm-c-toggle-checkbox--responsive\"><legend class=\"atm-c-legend atm...</fieldset>","#advanceFilterSection > div > div:nth-child(4) > div:nth-child(1) > div > fieldset"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.A.EmptyNoId","Anchor element found with no link content and no name and/or ID attribute.","<a href=\"\" target=\"_self\" class=\"\" rel=\"\" aria-describedby=\"\"><span></span></a>","#footerPanel0-panel > div > div:nth-child(2) > ul > li:nth-child(6) > a"
"error","WCAG2AA.Principle2.Guideline2_4.2_4_1.H64.1","Iframe element requires a non-empty title attribute that identifies the frame.","<iframe style=\"display: none;\"></iframe>","html > b > iframe"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_10.C32,C31,C33,C38,SCR34,G206","Interfering with a user agent's ability to zoom may be a failure of this Success Criterion.","<meta name=\"viewport\" content=\"width=device-width,initial-scale=1,maximum-scale=1,user-scalable=no\">","html > head > meta:nth-child(2)"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.","<span>United logo link to homepage</span>","#app > div > div > div > div:nth-child(3) > div:nth-child(3) > header > div > div > div:nth-child(1) > div > div > div > div:nth-child(1) > div > span"
"warning","WCAG2AA.Principle1.Guideline1_3.1_3_1.H42","Heading markup should be used if this content is intended as a heading.","<div class=\"app-components-BookTravel-bookTravel__mobileTabArrow--3SXko\" tabindex=\"0\"><i role=\"presentation\" aria-hid...</div>","#travelTab > h2 > div"
"warning","WCAG2AA.Principle1.Guideline1_3.1_3_1.H42","Heading markup should be used if this content is intended as a heading.","<div class=\"app-components-BookTravel-bookTravel__mobileTabArrow--3SXko\" tabindex=\"0\"><i role=\"presentation\" aria-hid...</div>","#statusTab > h2 > div"
"warning","WCAG2AA.Principle1.Guideline1_3.1_3_1.H42","Heading markup should be used if this content is intended as a heading.","<div class=\"app-components-BookTravel-bookTravel__mobileTabArrow--3SXko\" tabindex=\"0\"><i role=\"presentation\" aria-hid...</div>","#checkInTab > h2 > div:nth-child(2)"
