"type","code","message","context","selector"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.Fieldset.Name","This fieldset element does not have a name available to an accessibility API. Valid names are: legend element, aria-label undefined, aria-labelledby undefined.","<fieldset>\n<input type=\"hidden\" name=\"fam...</fieldset>","#search-form > fieldset"
"error","WCAG2AA.Principle1.Guideline1_3.1_3_1.H71.NoLegend","Fieldset does not contain a legend element. All fieldsets should contain a legend element that describes a description of the field group.","<fieldset>\n<input type=\"hidden\" name=\"fam...</fieldset>","#search-form > fieldset"
"error","WCAG2AA.Principle3.Guideline3_1.3_1_2.H58.1.Lang","The language specified in the lang attribute of this element does not appear to be well-formed.","<a class=\"jsl10n\" href=\"https://meta.wikimedia.org/wiki/Special:MyLanguage/List_of_Wikipedias\" lang=\"\" data-jsl10n=\"other-languages-label\">Other languages</a>","#js-lang-lists > div:nth-child(11) > a"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_3.G145.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 3:1.","<span class=\"central-textlogo__image sprite svg-Wikipedia_wordmark\">\nWikipedia\n</span>","#www-wikipedia-org > div:nth-child(1) > h1 > span"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.","<label for=\"searchLanguage\" id=\"jsLangLabel\" class=\"js-langpicker-label\">en</label>","#jsLangLabel"
"warning","WCAG2AA.Principle1.Guideline1_3.1_3_1.H85.2","If this selection list contains groups of related options, they should be grouped with optgroup.","<select id=\"searchLanguage\" name=\"language\">\n<option value=\"af\" lang=\"af\">A...</select>","#searchLanguage"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.","<option value=\"af\" lang=\"af\">Afrikaans</option>","#searchLanguage > option:nth-child(1)"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.","<option value=\"pl\" lang=\"pl\">Polski</option>","#searchLanguage > option:nth-child(2)"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.","<option value=\"ar\" lang=\"ar\">العربية</option>","#searchLanguage > option:nth-child(3)"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.","<option value=\"ast\" lang=\"ast\">Asturianu</option>","#searchLanguage > option:nth-child(4)"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.","<option value=\"az\" lang=\"az\">Azərbaycanca</option>","#searchLanguage > option:nth-child(5)"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.","<option value=\"bg\" lang=\"bg\">Български</option>","#searchLanguage > option:nth-child(6)"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.","<option value=\"nan\" lang=\"nan\">Bân-lâm-gú / Hō-ló-oē</option>","#searchLanguage > option:nth-child(7)"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.","<option value=\"bn\" lang=\"bn\">বাংলা</option>","#searchLanguage > option:nth-child(8)"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.","<option value=\"be\" lang=\"be\">Беларуская</option>","#searchLanguage > option:nth-child(9)"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.","<option value=\"ca\" lang=\"ca\">Català</option>","#searchLanguage > option:nth-child(10)"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.","<option value=\"cs\" lang=\"cs\">Čeština</option>","#searchLanguage > option:nth-child(11)"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.","<option value=\"cy\" lang=\"cy\">Cymraeg</option>","#searchLanguage > option:nth-child(12)"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.","<option value=\"da\" lang=\"da\">Dansk</option>","#searchLanguage > option:nth-child(13)"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.","<option value=\"de\" lang=\"de\">Deutsch</option>","#searchLanguage > option:nth-child(14)"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.","<option value=\"et\" lang=\"et\">Eesti</option>","#searchLanguage > option:nth-child(15)"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.","<option value=\"el\" lang=\"el\">Ελληνικά</option>","#searchLanguage > option:nth-child(16)"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.","<option value=\"en\" lang=\"en\" selected=\"selected\">English</option>","#searchLanguage > option:nth-child(17)"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.","<option value=\"es\" lang=\"es\">Español</option>","#searchLanguage > option:nth-child(18)"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.","<option value=\"eo\" lang=\"eo\">Esperanto</option>","#searchLanguage > option:nth-child(19)"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.","<option value=\"eu\" lang=\"eu\">Euskara</option>","#searchLanguage > option:nth-child(20)"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.","<option value=\"fa\" lang=\"fa\">فارسی</option>","#searchLanguage > option:nth-child(21)"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.","<option value=\"fr\" lang=\"fr\">Français</option>","#searchLanguage > option:nth-child(22)"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.","<option value=\"gl\" lang=\"gl\">Galego</option>","#searchLanguage > option:nth-child(23)"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.","<option value=\"ko\" lang=\"ko\">한국어</option>","#searchLanguage > option:nth-child(24)"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.","<option value=\"hi\" lang=\"hi\">हिन्दी</option>","#searchLanguage > option:nth-child(25)"
